Gemeindeschlüssel,plz,ort,bundesland,energietraeger,einspeisespannungsebene,leistung,einspeisemanagement,inbetriebnahme,netzzugang,ausserbetriebnahme,netzabgang,netzbetreiber,eiccode,bnetznr,anlagenschluessel,zaehlpunktbezeichnung,leistungsgemesseneanlage,aggregatzustandfluessig,aggregatzustandgas,aggregatzustandfest,anlagenuntertyp,pruefergebnis,status,markierung,menge_kwh,jahr
0733608036,67753,Hefersweiler,RP,WIN,HS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,13/01/2009,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789408817,DE0003966770000000000000052350287,Ja,,,,,,GEÄNDERT,0,2344728,2019
0733608085,67753,Reipoltskirchen,RP,WIN,HS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,14/01/2009,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789408818,DE0003966770000000000000052350287,Ja,,,,,,,0,2344719,2019
0733608086,67753,Relsberg,RP,WIN,HS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,12/01/2009,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789408838,DE0003966770000000000000052350287,Ja,,,,,,,0,2344728,2019
0733704039,76863,Herxheimweyher,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,01/10/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789801746,DE0003967686300000000000052307898,Ja,,,,,,GEÄNDERT,0,2411405,2019
0733704039,76863,Herxheimweyher,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,10/10/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789801747,DE0003967686300000000000052307898,Ja,,,,,,GEÄNDERT,0,2411405,2019
0733704039,76863,Herxheimweyher,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,31/12/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789801748,DE0003967686300000000000052307898,Ja,,,,,,GEÄNDERT,0,2411405,2019
0733704039,76863,Herxheimweyher,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,31/12/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789801749,DE0003967686300000000000052307898,Ja,,,,,,GEÄNDERT,0,2411405,2019
0733704039,76863,Herxheimweyher,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,31/12/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789801750,DE0003967686300000000000052307898,Ja,,,,,,GEÄNDERT,0,2411405,2019
0733704039,76863,Herxheimweyher,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,01/10/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230789807055,DE0003967686300000000000052307898,Ja,,,,,,GEÄNDERT,0,2411405,2019
0733200025,67454,Haßloch,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,23/12/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230790301752,DE0003966745400000000000052307903,Ja,,,,,,,0,2143091,2019
0733200025,67454,Haßloch,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,16/12/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230790306701,DE0003966745400000000000052307903,Ja,,,,,,,0,2143096,2019
0734006022,66989,Höheinöd,RP,WIN,MS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,02/02/2006,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230790601754,DE0003966698900000000000052307906,Ja,,,,,,,0,2968590,2019
0734006022,66989,Höheinöd,RP,WIN,MS,2000,regelbar und abrufbar nach § 6 EEG Abs.1,17/08/2006,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230790601755,DE0003966698900000000000052307906,Ja,,,,,,,0,2852936,2019
0734006022,66989,Höheinöd,RP,WIN,MS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,24/01/2006,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230790606676,DE0003966698900000000000052307906,Ja,,,,,,,0,2968590,2019
0733404020,76872,Minfeld,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,22/09/2004,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230791001762,DE0003967687200000000000052307910,Ja,,,,,,,0,2504323,2019
0733404020,76872,Minfeld,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,14/09/2004,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230791001763,DE0003967687200000000000052307910,Ja,,,,,,,0,2504323,2019
0733404020,76872,Minfeld,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,15/09/2004,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230791001764,DE0003967687200000000000052307910,Ja,,,,,,,0,2504323,2019
0733404020,76872,Minfeld,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,22/09/2004,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230791006703,DE0003967687200000000000052307910,Ja,,,,,,,0,2504323,2019
0733404020,76872,Minfeld,RP,WIN,MS,2000,regelbar und abrufbar nach § 6 EEG Abs.1,12/02/2009,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230791008781,DE0003967687200000000000052307910,Ja,,,,,,,0,3610916,2019
0734009216,66894,Krähenberg,RP,WIN,MS,1250,regelbar und abrufbar nach § 6 EEG Abs.1,28/03/2003,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797401809,DE0003966689200000000000052307974,Ja,,,,,,,0,1252114,2019
0734009216,66894,Krähenberg,RP,WIN,MS,1250,regelbar und abrufbar nach § 6 EEG Abs.1,25/03/2003,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797401810,DE0003966689200000000000052307974,Ja,,,,,,,0,1252114,2019
0734009216,66894,Krähenberg,RP,WIN,MS,1250,regelbar und abrufbar nach § 6 EEG Abs.1,19/03/2003,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797401811,DE0003966689200000000000052307974,Ja,,,,,,,0,1374979,2019
0734009216,66894,Krähenberg,RP,WIN,MS,1250,regelbar und abrufbar nach § 6 EEG Abs.1,31/03/2003,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797401812,DE0003966689200000000000052307974,Ja,,,,,,,0,1374979,2019
0734009216,66894,Krähenberg,RP,WIN,MS,1250,regelbar und abrufbar nach § 6 EEG Abs.1,31/03/2003,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797405750,DE0003966689200000000000052307974,Ja,,,,,,,0,1374978,2019
0733405028,67365,Schwegenheim,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,17/01/2006,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797501801,DE0003966736500000000000052307975,Ja,,,,,,,0,1833372,2019
0733405028,67365,Schwegenheim,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,31/01/2006,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797501802,DE0003966736500000000000052307975,Ja,,,,,,,0,1833372,2019
0733405028,67365,Schwegenheim,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,23/12/2005,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797501803,DE0003966736500000000000052307975,Ja,,,,,,,0,1833372,2019
0733610052,66871,Konken,RP,WIN,MS,850,regelbar und abrufbar nach § 6 EEG Abs.1,01/02/2002,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797601805,DE0003966687100000000000052307976,Ja,,,,,,,0,1134210,2019
0733610052,66871,Konken,RP,WIN,MS,850,regelbar und abrufbar nach § 6 EEG Abs.1,01/02/2002,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797601806,DE0003966687100000000000052307976,Ja,,,,,,,0,1134210,2019
0733610052,66871,Konken,RP,WIN,MS,850,regelbar und abrufbar nach § 6 EEG Abs.1,01/02/2002,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797601807,DE0003966687100000000000052307976,Ja,,,,,,,0,1134210,2019
0733610052,66871,Konken,RP,WIN,MS,850,regelbar und abrufbar nach § 6 EEG Abs.1,01/02/2002,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230797606681,DE0003966687100000000000052307976,Ja,,,,,,,0,1134204,2019
0733307008,67806,Bisterschied,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,10/04/2000,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230822702034,DE0003966780600000000000052308227,Ja,,,,,,,0,1975377,2019
0733307008,67806,Bisterschied,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,04/11/1999,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230822707035,DE0003966780600000000000052308227,Ja,,,,,,,0,742214,2019
