"","EEG.Anlagenschluessel","Hersteller.der.Windenergieanlage","Typenbezeichnung","Leistung","Inbetriebnahmedatum.der.Einheit","Gemeindeschluessel","Koordinate..Breitengrad..WGS84.","Koordinate..Laengengrad..WGS84.","Nabenhoehe.der.Windenergieanlage","Rotordurchmesser.der.Windenergieanlage"
"891","E32954010200000000003627152014740","ENERCON GmbH","E-82 E2","2300 ","29.03.2011",7331073,"49,837315","8,147997","138","82"
"892","E31238010000000000000055549250907","ENERCON GmbH","E-70","2000 ","29.12.2006",7232302,"50,310147","6,369191","65","70"
"893","E31238010000000000000055549250909","ENERCON GmbH","E-70","2000 ","27.12.2006",7232302,"50,309119","6,361574","114","70"
"894","E31238010000000000000055549250908","ENERCON GmbH","E-70","2000 ","21.12.2006",7232302,"50,311932","6,361652","114","70"
"895","E32954010200000000003627152014741","ENERCON GmbH","E-80 E2","2300 ","28.03.2011",7331073,"49,8368","8,155043","138","82"
"896","E31238010000000000000055549250905","ENERCON GmbH","E-70","2000 ","19.12.2006",7232302,"50,310779","6,365265","114","70"
"897","E32954010200000000003627152014742","ENERCON GmbH","E-82 E2","2300 ","31.03.2011",7331073,"49,835227","8,161383","138","82"
"898","E32954010200000000003627152014743","ENERCON GmbH","E-82 E2","2300 ","30.03.2011",7331073,"49,832681","8,147758","138","82"
"899","E32954010200000000003627152014744","ENERCON GmbH","E-82 E2","2300 ","31.03.2011",7331073,"49,829916","8,148558","138","82"
"900","E32954010200000000003623500515469","Kenersys Europe GmbH","K100","2500 ","01.12.2011",7331073,"49,843832","8,148647","135","100"
"901","E32954010200000000003623500515470","Kenersys Europe GmbH","K100","2500 ","02.12.2011",7331073,"49,84677","8,149541","135","100"
"902","E32954010200000000003623500515471","Kenersys Europe GmbH","K100","2500 ","14.12.2011",7331073,"49,850392","8,152789","135","100"
"903","E32954010200000000003623500515472","Kenersys Europe GmbH","K100","2500 ","29.12.2011",7331073,"49,85393","8,153214","135","100"
"904","E32954010200000000003623500515473","Kenersys Europe GmbH","K100","2500 ","01.10.2012",7331073,"49,856809","8,159493","135","100"
"905","E3025401WEA1SIPPERSFELD0337001329","ENERCON GmbH","E101","3050 ","30.12.2014",7333009,"49,563997","7,913271","135.4","101"
"906","E3025401WEA2SIPPERSFELD0337001494","ENERCON GmbH","E101","3050 ","17.12.2014",7333071,"49,562094","7,916549","135.4","101"
"907","E3025401WEA3SIPPERSFELD0337001495","ENERCON GmbH","E101","3050 ","23.12.2014",7333071,"49,55964","7,918609","135.4","101"
"908","E32954010000000000003616501000001","Senvion Deutschland GmbH","3.4M104","3370 ","10.01.2013",7331020,"49,719433","8,172924","128","104"
"909","E32954010000000000003616501000002","Senvion Deutschland GmbH","3.4M104","3370 ","11.02.2013",7331011,"49,727468","8,173287","128","104"
"910","E32954010000000000003616501000003","Senvion Deutschland GmbH","3.4M104","3370 ","02.03.2013",7331011,"49,724727","8,177441","128","104"
"911","E31238010000000000000069475821478","REpower Systems SE","MD 77","1500 ","29.12.2005",7232077,"49,874112","6,510129","","77"
"912","E31238010000000000000069475809395","REpower Systems SE","MD 77","1500 ","02.12.2009",7232077,"49,873778","6,503397","","77"
"913","E31238010000000000000069475821496","REpower Systems SE","MM 82 Evolution","2000 ","09.12.2009",7232065,"49,862289","6,529467","","82"
"914","E3123801V000000000000042827839389","ENERCON GmbH","E-101-3.050","3050 ","13.11.2015",7231040,"49,844964","7,040975","149","101"
"915","E3123801V000000000000042827805112","ENERCON GmbH","E-101-3.050","3050 ","21.12.2015",7231040,"49,840826","7,03932","149","101"
"916","E3123801W000000000004787901204716","ENERCON GmbH","E-101","3050 ","10.11.2016",7231040,"49,845077","7,047104","149","101"
"917","E3123801V000000000000047879304717","ENERCON GmbH","E-101","3050 ","31.05.2017",7231040,"49,843888","7,052382","149","101"
"918","E3123801V000000000000047879304718","ENERCON GmbH","E-101","3050 ","28.04.2017",7231040,"49,84158","7,055243","135.4","101"
