"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"1064",723205073,54673,"Leimbach",500,1994-10-04,"11YR00000003039P",10003764,"E31238010000020170000009048219013",629116,7232,"Eifelkreis Bitburg-Pr?m",1258.232,629,"723205","S?deifel"
"1065",723205088,54673,"Neuerburg",500,1995-05-31,"11YR00000003039P",10003764,"E31238010000020170000009179900042",722271,7232,"Eifelkreis Bitburg-Pr?m",1444.542,722,"723205","S?deifel"
"1066",723205088,54673,"Neuerburg",500,1995-05-18,"11YR00000003039P",10003764,"E31238010000020170000009179919015",722271,7232,"Eifelkreis Bitburg-Pr?m",1444.542,722,"723205","S?deifel"
"1067",723205088,54673,"Neuerburg",500,1995-05-23,"11YR00000003039P",10003764,"E31238010000020170000009179919016",722271,7232,"Eifelkreis Bitburg-Pr?m",1444.542,722,"723205","S?deifel"
"1068",723205088,54673,"Neuerburg",500,1995-05-31,"11YR00000003039P",10003764,"E31238010000020170000009179919018",722271,7232,"Eifelkreis Bitburg-Pr?m",1444.542,722,"723205","S?deifel"
"1070",723205122,54675,"Sinspelt",1000,2000-12-28,"11YR00000003039P",10003764,"E31238010000020170000009529211702",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
"1071",723205122,54675,"Sinspelt",1000,2000-12-20,"11YR00000003039P",10003764,"E31238010000020170000009529211703",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
"1072",723205122,54675,"Sinspelt",1000,2000-12-21,"11YR00000003039P",10003764,"E31238010000020170000009529218880",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
"1073",723205122,54675,"Sinspelt",1000,2000-12-22,"11YR00000003039P",10003764,"E31238010000020170000009529218881",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
"1074",723205122,54675,"Sinspelt",1000,2000-12-20,"11YR00000003039P",10003764,"E31238010000020170000009529218882",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
"1075",723205122,54675,"Sinspelt",1000,2000-12-20,"11YR00000003039P",10003764,"E31238010000020170000009529218883",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
"1076",723205122,54675,"Sinspelt",1000,2000-12-21,"11YR00000003039P",10003764,"E31238010000020170000009529218884",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
"1077",723205122,54675,"Sinspelt",1000,2000-12-22,"11YR00000003039P",10003764,"E31238010000020170000009529218885",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
"1078",723205122,54675,"Sinspelt",1000,2000-12-20,"11YR00000003039P",10003764,"E31238010000020170000009529218886",1280046,7232,"Eifelkreis Bitburg-Pr?m",1280.046,1280,"723205","S?deifel"
