"","Gemeindeschlüssel","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"139",733609101,66909,"Wahnwegen",2000,2011-03-10,"E30254010000000000005234430229629",3770529,1885.2645,3771
"140",733610103,66887,"Welchweiler",800,2007-07-13,"E30254010000000000005234767337518",1015422,1269.2775,1015
"141",733307055,67821,"Oberndorf",2530,2014-09-05,"E30254010WEA1OBERNDORF0FLUR322006",5315352,2100.92964426877,5315
"142",733303026,67307,"Göllheim",2530,2014-09-23,"E30254010WEA2GOLLWALD00FLUR474306",5505377,2176.03833992095,5505
"143",733303026,67307,"Göllheim",2530,2014-09-04,"E30254010WEA2GOLLWALD00FLUR475902",5505377,2176.03833992095,5505
"144",733303026,67307,"Göllheim",2530,2014-09-11,"E30254010WEA2GOLLWALD00FLUR475903",5505377,2176.03833992095,5505
"145",733303026,67307,"Göllheim",2530,2014-09-13,"E30254010WEA2GOLLWALD00FLUR476304",5505377,2176.03833992095,5505
"146",733303026,67307,"Göllheim",2530,2014-09-23,"E30254010WEA2GOLLWALD00FLUR476305",5505382,2176.04031620553,5505
"147",733307055,67821,"Oberndorf",2530,2014-09-01,"E30254010WEA2OBERNDORF0FLUR306006",5315358,2100.93201581028,5315
"148",733806013,67259,"Heuchelheim",2000,2004-12-30,"E30254011000000000005231616306700",2374359,1187.1795,2374
"149",733806013,67259,"Heuchelheim",2000,2005-05-13,"E30254012000000000005231616306700",2374353,1187.1765,2374
"150",733806013,67259,"Heuchelheim",2000,2005-05-03,"E30254013000000000005231616306700",2374359,1187.1795,2374
"151",733806013,67259,"Heuchelheim",2000,2005-04-15,"E30254014000000000005231616306700",2374359,1187.1795,2374
"152",733806013,67259,"Heuchelheim",800,2005-02-03,"E30254015000000000005231616306700",949743,1187.17875,950
"153",733502004,67677,"Enkenbach-Alsenborn",3000,2013-05-31,"E3025401PVA0000000000009000011337",5284973,1761.65766666667,5285
"154",733101022,55234,"Esselborn",3075,2013-10-16,"E3025401WEA0000000000ESSELBORN001",7602503,2472.35869918699,7603
"155",733101022,55234,"Esselborn",3075,2013-10-17,"E3025401WEA0000000000ESSELBORN002",7602494,2472.35577235772,7602
"156",733307053,67822,"Oberhausen",3075,2014-04-02,"E3025401WEA0000000000OBERHAUSEN01",6694307,2177.01040650407,6694
"157",733307053,67822,"Oberhausen",3075,2014-04-11,"E3025401WEA0000000000OBERHAUSEN02",6694301,2177.00845528455,6694
"158",733304010,67295,"Bolanden",3075,2013-12-27,"E3025401WEA000000000HUNGERBERG001",7012210,2280.39349593496,7012
