"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"1176",713502075,56754,"Roes",600,1996-08-20,"E31238010000050311000000236518008",686649,1144.415,687
"1177",713502026,56759,"Eppenberg",500,1997-06-19,"E31238010000050311000000250509150",737113,1474.226,737
"1178",713502026,56759,"Eppenberg",500,1997-06-19,"E31238010000050311000000250518050",737113,1474.226,737
"1312",713402018,55765,"Dambach",500,1995-06-29,"E31280100000000340000005110101196",552665,1105.33,553
"1313",713402042,55768,"Hoppstädten-Weiersbach",500,1996-12-01,"E31280100000000340000005946201197",580806,1161.612,581
"1314",713402042,55768,"Hoppstädten-Weiersbach",500,1996-12-01,"E31280100000000340000005946222337",580806,1161.612,581
"1315",713402042,55768,"Hoppstädten-Weiersbach",500,1996-12-01,"E31280100000000340000005946222338",580806,1161.612,581
"1316",713401054,55777,"Mettweiler",1500,2000-10-12,"E31280100000000340000006639401325",2045664,1363.776,2046
"1319",713401054,55777,"Mettweiler",500,1996-12-01,"E31280100000000340000006640022339",796658,1593.316,797
"1324",714107060,56357,"Holzhausen",600,1997-11-01,"E31495010000000000060208038900000",599583,999.305,600
"1325",714103061,65558,"Holzheim",600,2000-04-27,"E31495010000000000060208039500000",501546,835.91,502
"1326",714111068,56368,"Katzenelnbogen",150,1991-12-29,"E31495010000000000060208042700000",92736,618.24,93
"1388",713301032,55546,"Fürfeld",600,1999-06-23,"E32954010200000000003615000111202",671154.22,1118.59036666667,671
"1389",713301032,55546,"Fürfeld",600,1999-07-22,"E32954010200000000003615000111203",671154.22,1118.59036666667,671
"1393",733107011,55234,"Hochborn",3000,1999-03-01,"E32954010200000000003616500511201",3979649.22,1326.54974,3980
"1394",733101024,55234,"Flomborn",1500,2000-07-13,"E32954010200000000003616500611208",1843618.6,1229.07906666667,1844
"1395",733906067,55270,"Zornheim",1000,1999-01-01,"E32954010200000000003616900611200",1271893.75,1271.89375,1272
"1396",733906067,55270,"Zornheim",600,2000-07-27,"E32954010200000000003616900611209",763136.25,1271.89375,763
"1400",733101031,55234,"Gau-Heppenheim",1000,1998-12-23,"E32954010200000000003618000112857",1186770,1186.77,1187
"1408",733906042,55268,"Nieder-Olm",600,2000-07-31,"E32954010200000000003621301811210",980087,1633.47833333333,980
"1419",733106061,55288,"Spiesheim",1500,1997-05-17,"E32954010200000000003624100111195",2204629.48,1469.75298666667,2205
"1420",733106061,55288,"Spiesheim",500,1998-10-08,"E32954010200000000003624100111197",690005.24,1380.01048,690
"1421",733106061,55288,"Spiesheim",500,1998-10-09,"E32954010200000000003624100111198",709612.29,1419.22458,710
"1596",733107036,67598,"Gundersheim",1200,1999-03-01,"E32954010200000000003616500511202",1017826.76,848.188966666667,1018
