"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"16",734009055,66919,"Weselberg",1380,2002-06-04,"11YR00000001555H",10002992,"E30254010000000000005230788301709",2445573,7340,"S?dwestpfalz",1772.15434782609,2446,"734009","Thaleischweiler-Wallhalben"
"17",734009055,66919,"Weselberg",1800,2002-01-15,"11YR00000001555H",10002992,"E30254010000000000005230788306675",3170560,7340,"S?dwestpfalz",1761.42222222222,3171,"734009","Thaleischweiler-Wallhalben"
"18",733608087,67753,"Rothselberg",1600,2003-12-19,"11YR00000001555H",10002992,"E30254010000000000005230788501717",1073544,7336,"Kusel",670.965,1074,"733608","Lauterecken-Wolfstein"
"19",733207029,67271,"Kindenheim",1800,2003-07-24,"11YR00000001555H",10002992,"E30254010000000000005230788601719",2518435,7332,"Bad D?rkheim",1399.13055555556,2518,"733207","Leiningerland"
"20",733207029,67271,"Kindenheim",1800,2003-07-17,"11YR00000001555H",10002992,"E30254010000000000005230788601720",2518435,7332,"Bad D?rkheim",1399.13055555556,2518,"733207","Leiningerland"
"21",733207029,67271,"Kindenheim",1800,2003-07-30,"11YR00000001555H",10002992,"E30254010000000000005230788607050",2518436,7332,"Bad D?rkheim",1399.13111111111,2518,"733207","Leiningerland"
"22",733511037,66851,"Queidersbach",2000,2002-06-12,"11YR00000001555H",10002992,"E30254010000000000005230788701721",3308188,7335,"Kaiserslautern",1654.094,3308,"733511","Landstuhl"
"23",733401001,76756,"Bellheim",1500,2003-12-21,"11YR00000001555H",10002992,"E30254010000000000005230789301729",2282789,7334,"Germersheim",1521.85933333333,2283,"733401","Bellheim"
"24",733401001,76756,"Bellheim",1500,2003-12-21,"11YR00000001555H",10002992,"E30254010000000000005230789301730",2282789,7334,"Germersheim",1521.85933333333,2283,"733401","Bellheim"
"25",733401001,76756,"Bellheim",1500,2003-12-17,"11YR00000001555H",10002992,"E30254010000000000005230789306702",2282790,7334,"Germersheim",1521.86,2283,"733401","Bellheim"
"26",733510033,67737,"Olsbrücken",1800,2004-07-16,"11YR00000001555H",10002992,"E30254010000000000005230789401732",2073185,7335,"Kaiserslautern",1151.76944444444,2073,"733510","Otterbach-Otterberg"
"27",733510033,67737,"Olsbrücken",1800,2004-07-27,"11YR00000001555H",10002992,"E30254010000000000005230789401733",2073177,7335,"Kaiserslautern",1151.765,2073,"733510","Otterbach-Otterberg"
"28",733510029,67700,"Niederkirchen",2000,2005-03-24,"11YR00000001555H",10002992,"E30254010000000000005230789401734",2554238,7335,"Kaiserslautern",1277.119,2554,"733510","Otterbach-Otterberg"
"29",733510029,67700,"Niederkirchen",2000,2005-03-24,"11YR00000001555H",10002992,"E30254010000000000005230789401735",2554238,7335,"Kaiserslautern",1277.119,2554,"733510","Otterbach-Otterberg"
