"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh"
"95",734006016,66919,"Hermersberg",800,2007-08-07,"11YR00000001555H",10002992,"E30254010000000000005231819006705",1174216
"96",734006016,66919,"Hermersberg",2000,2008-07-10,"11YR00000001555H",10002992,"E30254010000000000005231819007703",4024250
"97",734006016,66919,"Hermersberg",2000,2008-07-29,"11YR00000001555H",10002992,"E30254010000000000005231819007704",4024251
"98",733610103,66887,"Welchweiler",2000,2007-08-03,"11YR00000001555H",10002992,"E30254010000000000005231821504019",1700281
"99",734006054,67714,"Waldfischbach-Burgalben",2000,2007-12-28,"11YR00000001555H",10002992,"E30254010000000000005232123306711",3092015
"100",734006022,66989,"Höheinöd",2000,2007-12-27,"11YR00000001555H",10002992,"E30254010000000000005232123306712",3092015
"101",734006054,67714,"Waldfischbach-Burgalben",2000,2008-01-30,"11YR00000001555H",10002992,"E30254010000000000005232123306713",3092016
"102",733707061,76877,"Offenbach",2000,2008-03-04,"11YR00000001555H",10002992,"E30254010000000000005232263805059",3564919
"103",733707061,76877,"Offenbach",2000,2008-03-17,"11YR00000001555H",10002992,"E30254010000000000005232263805060",3564919
"104",733707061,76877,"Offenbach",2000,2008-03-08,"11YR00000001555H",10002992,"E30254010000000000005232263805061",3564912
"105",733807023,67354,"Römerberg",2000,2008-10-07,"11YR00000001555H",10002992,"E30254010000000000005232790909814",3052724
"106",734008221,66484,"Riedelberg",2300,2009-02-27,"11YR00000001555H",10002992,"E30254010000000000005232855709017",3114291
"107",734008221,66484,"Riedelberg",2300,2009-03-04,"11YR00000001555H",10002992,"E30254010000000000005232855709018",3114293
"108",734008221,66484,"Riedelberg",2000,2009-03-03,"11YR00000001555H",10002992,"E30254010000000000005232855709019",3705969
"109",734008221,66484,"Riedelberg",2000,2009-02-27,"11YR00000001555H",10002992,"E30254010000000000005232855709020",3705969
"110",733610003,66885,"Erdesbach-Patersbach",2000,2009-10-26,"11YR00000001555H",10002992,"E30254010000000000005233312514223",2812792
"111",733610022,66887,"Erdesbach-Patersbach",2000,2009-11-03,"11YR00000001555H",10002992,"E30254010000000000005233312514224",2812792
"112",733610022,66887,"Erdesbach-Patersbach",2000,2009-11-03,"11YR00000001555H",10002992,"E30254010000000000005233312514225",2812791
"113",733610003,66885,"Erdesbach-Patersbach",2000,2009-10-12,"11YR00000001555H",10002992,"E30254010000000000005233312514226",2812792
"114",734008226,66484,"Walshausen",2000,2009-11-28,"11YR00000001555H",10002992,"E30254010000000000005233432816109",3690572
"115",734008226,66484,"Walshausen",2000,2009-12-01,"11YR00000001555H",10002992,"E30254010000000000005233432816110",3690567
"116",733307025,67813,"Gerbach",3050,2011-10-28,"11YR00000001555H",10002992,"E30254010000000000005234010639491",8012878
"117",733801006,67125,"Dannstadt-Schauernheim",2500,2011-02-04,"11YR00000001555H",10002992,"E30254010000000000005234201028183",3663506
"118",733800005,67459,"Böhl-Iggelheim",2500,2011-02-02,"11YR00000001555H",10002992,"E30254010000000000005234201028184",3663507
"119",733207010,67246,"Dirmstein",2000,2010-12-30,"11YR00000001555H",10002992,"E30254010000000000005234239828155",3285475
"120",733207010,67246,"Dirmstein",2000,2010-12-30,"11YR00000001555H",10002992,"E30254010000000000005234239828156",3284043
"121",733609041,66909,"Herschweiler-Pettersheim",2000,2011-03-31,"11YR00000001555H",10002992,"E30254010000000000005234430229628",3412674
"122",733609101,66909,"Wahnwegen",2000,2011-03-10,"11YR00000001555H",10002992,"E30254010000000000005234430229629",3412676
"123",733610103,66887,"Welchweiler",800,2007-07-13,"11YR00000001555H",10002992,"E30254010000000000005234767337518",782829
"124",733307055,67821,"Oberndorf",2530,2014-09-05,"11YR00000001555H",10002992,"E30254010WEA1OBERNDORF0FLUR322006",5483956
"125",733303026,67307,"Göllheim",2530,2014-09-23,"11YR00000001555H",10002992,"E30254010WEA2GOLLWALD00FLUR474306",5468956
"126",733303026,67307,"Göllheim",2530,2014-09-04,"11YR00000001555H",10002992,"E30254010WEA2GOLLWALD00FLUR475902",5468956
"127",733303026,67307,"Göllheim",2530,2014-09-11,"11YR00000001555H",10002992,"E30254010WEA2GOLLWALD00FLUR475903",5468956
"128",733303026,67307,"Göllheim",2530,2014-09-13,"11YR00000001555H",10002992,"E30254010WEA2GOLLWALD00FLUR476304",5468956
"129",733303026,67307,"Göllheim",2530,2014-09-23,"11YR00000001555H",10002992,"E30254010WEA2GOLLWALD00FLUR476305",5468952
"130",733307055,67821,"Oberndorf",2530,2014-09-01,"11YR00000001555H",10002992,"E30254010WEA2OBERNDORF0FLUR306006",5483960
"131",733806013,67259,"Heuchelheim",2000,2004-12-30,"11YR00000001555H",10002992,"E30254011000000000005231616306700",2255677
"132",733806013,67259,"Heuchelheim",2000,2005-05-13,"11YR00000001555H",10002992,"E30254012000000000005231616306700",2355899
"133",733806013,67259,"Heuchelheim",2000,2005-05-03,"11YR00000001555H",10002992,"E30254013000000000005231616306700",2255677
"134",733806013,67259,"Heuchelheim",2000,2005-04-15,"11YR00000001555H",10002992,"E30254014000000000005231616306700",2255674
"135",733806013,67259,"Heuchelheim",800,2005-02-03,"11YR00000001555H",10002992,"E30254015000000000005231616306700",903367
"136",733502004,67677,"Enkenbach-Alsenborn",3000,2013-05-31,"11YR00000001555H",10002992,"E3025401PVA0000000000009000011337",5211716
"137",733101022,55234,"Esselborn",3075,2013-10-16,"11YR00000001555H",10002992,"E3025401WEA0000000000ESSELBORN001",7476259
"138",733101022,55234,"Esselborn",3075,2013-10-17,"11YR00000001555H",10002992,"E3025401WEA0000000000ESSELBORN002",7476254
