"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh"
"96",733609047,66909,"Hüffler",2000,2007-02-21,"E30254010000000000005231640307069",3759034
"97",734006016,66919,"Hermersberg",800,2007-08-09,"E30254010000000000005231819004016",1184098
"98",734006016,66919,"Hermersberg",800,2007-08-07,"E30254010000000000005231819006705",1184098
"99",734006016,66919,"Hermersberg",2000,2008-07-10,"E30254010000000000005231819007703",4058120
"100",734006016,66919,"Hermersberg",2000,2008-07-29,"E30254010000000000005231819007704",4058120
"101",733610103,66887,"Welchweiler",2000,2007-08-03,"E30254010000000000005231821504019",1948346
"102",734006054,67714,"Waldfischbach-Burgalben",2000,2007-12-28,"E30254010000000000005232123306711",3168337
"103",734006022,66989,"Höheinöd",2000,2007-12-27,"E30254010000000000005232123306712",3168337
"104",734006054,67714,"Waldfischbach-Burgalben",2000,2008-01-30,"E30254010000000000005232123306713",3168339
"105",733707061,76877,"Offenbach",2000,2008-03-04,"E30254010000000000005232263805059",3614950
"106",733707061,76877,"Offenbach",2000,2008-03-17,"E30254010000000000005232263805060",3614950
"107",733707061,76877,"Offenbach",2000,2008-03-08,"E30254010000000000005232263805061",3614954
"108",733807023,67354,"Römerberg",2000,2008-10-07,"E30254010000000000005232790909814",3275765
"109",734008221,66484,"Riedelberg",2300,2009-02-27,"E30254010000000000005232855709017",2684706
"110",734008221,66484,"Riedelberg",2300,2009-03-04,"E30254010000000000005232855709018",2684706
"111",734008221,66484,"Riedelberg",2000,2009-03-03,"E30254010000000000005232855709019",3352994
"112",734008221,66484,"Riedelberg",2000,2009-02-27,"E30254010000000000005232855709020",3352994
"113",733610003,66885,"Erdesbach-Patersbach",2000,2009-10-26,"E30254010000000000005233312514223",3043369
"114",733610022,66887,"Erdesbach-Patersbach",2000,2009-11-03,"E30254010000000000005233312514224",3043369
"115",733610022,66887,"Erdesbach-Patersbach",2000,2009-11-03,"E30254010000000000005233312514225",3043368
"116",733610003,66885,"Erdesbach-Patersbach",2000,2009-10-12,"E30254010000000000005233312514226",3043369
"117",734008226,66484,"Walshausen",2000,2009-11-28,"E30254010000000000005233432816109",3406389
"118",734008226,66484,"Walshausen",2000,2009-12-01,"E30254010000000000005233432816110",3406385
"119",733307025,67813,"Gerbach",3050,2011-10-28,"E30254010000000000005234010639491",7819435
"120",733801006,67125,"Dannstadt-Schauernheim",2500,2011-02-04,"E30254010000000000005234201028183",2714452
"121",733800005,67459,"Böhl-Iggelheim",2500,2011-02-02,"E30254010000000000005234201028184",2714452
"122",733207010,67246,"Dirmstein",2000,2010-12-30,"E30254010000000000005234239828155",3129579
"123",733207010,67246,"Dirmstein",2000,2010-12-30,"E30254010000000000005234239828156",3129579
"124",733609101,66909,"Wahnwegen",2000,2011-03-31,"E30254010000000000005234430229628",3396587
"125",733609101,66909,"Wahnwegen",2000,2011-03-10,"E30254010000000000005234430229629",3396593
"126",733610103,66887,"Welchweiler",800,2007-07-13,"E30254010000000000005234767337518",897045
"127",733307055,67821,"Oberndorf",2530,2014-09-05,"E30254010WEA1OBERNDORF0FLUR322006",5784569
"128",733303026,67307,"Göllheim",2530,2014-09-23,"E30254010WEA2GOLLWALD00FLUR474306",5886305
"129",733303026,67307,"Göllheim",2530,2014-09-04,"E30254010WEA2GOLLWALD00FLUR475902",5886305
"130",733303026,67307,"Göllheim",2530,2014-09-11,"E30254010WEA2GOLLWALD00FLUR475903",5886305
"131",733303026,67307,"Göllheim",2530,2014-09-13,"E30254010WEA2GOLLWALD00FLUR476304",5886305
"132",733303026,67307,"Göllheim",2530,2014-09-23,"E30254010WEA2GOLLWALD00FLUR476305",5886305
"133",733307055,67821,"Oberndorf",2530,2014-09-01,"E30254010WEA2OBERNDORF0FLUR306006",5784574
"134",733806013,67259,"Heuchelheim",2000,2004-12-30,"E30254011000000000005231616306700",2105548
"135",733806013,67259,"Heuchelheim",2000,2005-05-13,"E30254012000000000005231616306700",2181818
"136",733806013,67259,"Heuchelheim",2000,2005-05-03,"E30254013000000000005231616306700",2105548
"137",733806013,67259,"Heuchelheim",2000,2005-04-15,"E30254014000000000005231616306700",2105548
"138",733806013,67259,"Heuchelheim",800,2005-02-03,"E30254015000000000005231616306700",843054
"139",733502004,67677,"Enkenbach-Alsenborn",3000,2013-05-31,"E3025401PVA0000000000009000011337",5300533
"140",733101022,55234,"Esselborn",3075,2013-10-16,"E3025401WEA0000000000ESSELBORN001",7448848
"141",733101022,55234,"Esselborn",3075,2013-10-17,"E3025401WEA0000000000ESSELBORN002",7448842
"142",733307053,67822,"Oberhausen",3075,2014-04-02,"E3025401WEA0000000000OBERHAUSEN01",6582759
"143",733307053,67822,"Oberhausen",3075,2014-04-11,"E3025401WEA0000000000OBERHAUSEN02",6582753
"144",733304010,67295,"Bolanden",3075,2013-12-27,"E3025401WEA000000000HUNGERBERG001",6644969
"145",733304022,67294,"Gauersheim",3075,2014-01-31,"E3025401WEA000000000HUNGERBERG004",6644969
"146",733304062,67294,"Rittersheim",3075,2014-01-31,"E3025401WEA000000000HUNGERBERG005",6644969
"147",733304022,67294,"Gauersheim",3075,2013-12-27,"E3025401WEA000000000HUNGERBERG006",6644969
"148",733304022,67294,"Gauersheim",3075,2013-12-10,"E3025401WEA000000000HUNGERBERG007",6644969
"149",733304022,67294,"Gauersheim",3075,2014-02-13,"E3025401WEA000000000HUNGERBERG008",6644969
"150",733304022,67294,"Gauersheim",3075,2013-12-29,"E3025401WEA000000000HUNGERBERG009",6644969
"151",733304022,67294,"Gauersheim",3075,2013-12-10,"E3025401WEA000000000HUNGERBERG010",6644969
"152",733303001,67308,"Albisheim",3300,2015-11-14,"E3025401WEA000000000HUNGERBERG011",7131172
"153",733303001,67308,"Albisheim",3075,2013-11-18,"E3025401WEA000000000HUNGERBERG012",6644969
"154",733303001,67308,"Albisheim (Pfrimm)",3075,2013-12-03,"E3025401WEA000000000HUNGERBERG013",6644969
"155",733511023,66851,"Linden",2400,2013-12-09,"E3025401WEA000000000LINDEN8288102",5508430
"156",733511023,66851,"Linden",2400,2013-12-18,"E3025401WEA000000000LINDEN8288201",5508426
"157",733303012,67308,"Bubenheim",2530,2014-07-23,"E3025401WEA00000000BUBENHEIM00009",6558759
"158",733303012,67308,"Bubenheim",2530,2014-07-23,"E3025401WEA00000000BUBENHEIM00011",6558755
"159",733207029,67271,"Kindenheim",3050,2014-07-28,"E3025401WEA00000000KINDENHEIM0001",7052097
"160",733207029,67271,"Kindenheim",3050,2014-09-12,"E3025401WEA00000000KINDENHEIM0002",7052093
"161",733608087,67753,"Rothselberg",3050,2014-12-15,"E3025401WEA000000GALGENBERT010001",7093467
"162",733608087,67753,"Rothselberg",3050,2014-12-23,"E3025401WEA000000GALGENBERT010002",7093467
"163",733608087,67753,"Rothselberg",3050,2014-12-30,"E3025401WEA000000GALGENBERT010003",7093467
"164",733608105,67752,"Wolfstein",3050,2015-02-24,"E3025401WEA000000GALGENBERT010004",7093467
"165",733608105,67752,"Wolfstein",3050,2015-06-25,"E3025401WEA000000GALGENBERT010005",7093467
"166",733608105,67752,"Wolfstein",3050,2015-05-21,"E3025401WEA000000GALGENBERT010006",7093467
"167",733608105,67752,"Wolfstein",3050,2015-07-28,"E3025401WEA000000GALGENBERT010007",7093467
"168",733608105,67752,"Wolfstein",3050,2015-08-04,"E3025401WEA000000GALGENBERT010008",7093445
"169",733707061,76877,"Offenbach",2530,2014-09-03,"E3025401WEA000000UWOFFENBACH37501",5274575
"170",733707061,76877,"Offenbach",2530,2014-08-19,"E3025401WEA000000UWOFFENBACH37502",5274575
