"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"29",733510033,67737,"Olsbrücken",1800,2004-07-27,"E30254010000000000005230789401733",1985381,1102.98944444444,1985
"30",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401734",2485845,1242.9225,2486
"31",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401735",2485845,1242.9225,2486
"32",733510029,67700,"Niederkirchen",2000,2004-11-30,"E30254010000000000005230789401736",2485845,1242.9225,2486
"33",733510029,67700,"Niederkirchen",2000,2004-12-02,"E30254010000000000005230789401737",2485845,1242.9225,2486
"34",733510029,67700,"Niederkirchen",2000,2006-03-22,"E30254010000000000005230789401738",2805802,1402.901,2806
"35",733510029,67700,"Niederkirchen",2000,2006-05-08,"E30254010000000000005230789401739",2805802,1402.901,2806
"36",733510029,67700,"Niederkirchen",2000,2006-03-30,"E30254010000000000005230789401740",2805802,1402.901,2806
"37",733510029,67700,"Niederkirchen",2000,2006-05-18,"E30254010000000000005230789401741",2805802,1402.901,2806
"38",733510029,67700,"Niederkirchen",2000,2006-05-24,"E30254010000000000005230789401742",2805802,1402.901,2806
"39",733510029,67700,"Niederkirchen",2000,2006-04-07,"E30254010000000000005230789401743",2805818,1402.909,2806
"40",733608036,67753,"Hefersweiler",2300,2009-01-08,"E30254010000000000005230789408782",2319397,1008.43347826087,2319
"41",733608036,67753,"Hefersweiler",2300,2009-01-13,"E30254010000000000005230789408817",2319397,1008.43347826087,2319
"42",733608085,67753,"Reipoltskirchen",2300,2009-01-14,"E30254010000000000005230789408818",2319384,1008.42782608696,2319
"43",733608086,67753,"Relsberg",2300,2009-01-12,"E30254010000000000005230789408838",2319397,1008.43347826087,2319
"44",733406025,76761,"Rülzheim",1500,2005-10-01,"E30254010000000000005230789801746",1942170,1294.78,1942
"45",733406025,76761,"Rülzheim",1500,2005-10-10,"E30254010000000000005230789801747",1942170,1294.78,1942
"46",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801748",1942170,1294.78,1942
"47",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801749",1942170,1294.78,1942
"48",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801750",1942168,1294.77866666667,1942
"49",733406025,76761,"Rülzheim",1500,2005-10-01,"E30254010000000000005230789807055",1942170,1294.78,1942
"50",733200025,67454,"Haßloch",1500,2005-12-23,"E30254010000000000005230790301752",2038790,1359.19333333333,2039
"51",733200025,67454,"Haßloch",1500,2005-12-16,"E30254010000000000005230790306701",2038794,1359.196,2039
