"","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh"
"48","E30254010000000000005230790301752","1500","22.12.2005",7316000,"49,386136","8,270259",100,77,733200025,67454,"Haßloch",1500,"2005-12-23",2143091
"49","E30254010000000000005230790306701","1500","22.12.2005",7316000,"49,381927","8,268697",100,77,733200025,67454,"Haßloch",1500,"2005-12-16",2143096
"50","E30254010000000000005230790601754","2300","2.2.2006",7340022,"49,30543","7,61455",114,70,734006022,66989,"Höheinöd",2300,"2006-02-02",2968590
"51","E30254010000000000005230790601755","2000","17.8.2006",7340022,"49,303426","7,616378",1135,71,734006022,66989,"Höheinöd",2000,"2006-08-17",2852936
"52","E30254010000000000005230790606676","2300","24.1.2006",7340022,"49,302891","7,609465",114,70,734006022,66989,"Höheinöd",2300,"2006-01-24",2968590
"53","E30254010000000000005230791001762","1500","22.9.2004",7334020,"49,081286","8,155437",100,77,733404020,76872,"Minfeld",1500,"2004-09-22",2504323
"54","E30254010000000000005230791001763","1500","14.9.2004",7334020,"49,081483","8,152292",100,77,733404020,76872,"Minfeld",1500,"2004-09-14",2504323
"55","E30254010000000000005230791001764","1500","15.9.2004",7334020,"49,079857","8,158007",100,77,733404020,76872,"Minfeld",1500,"2004-09-15",2504323
"56","E30254010000000000005230791006703","1500","22.9.2004",7334020,"49,082963","8,147428",100,77,733404020,76872,"Minfeld",1500,"2004-09-22",2504323
"57","E30254010000000000005230791008781","2000","12.2.2009",7334020,"49,085519","8,147192",105,90,733404020,76872,"Minfeld",2000,"2009-02-12",3610916
"58","E30254010000000000005230797401809","1250","28.3.2003",7335003,"49,333007","7,492786",68,64,734009216,66894,"Krähenberg",1250,"2003-03-28",1252114
"59","E30254010000000000005230797401810","1250","25.3.2003",7335003,"49,335168","7,490376",68,64,734009216,66894,"Krähenberg",1250,"2003-03-25",1252114
"60","E30254010000000000005230797401811","1250","19.3.2003",7335003,"49,336903","7,48825",915,64,734009216,66894,"Krähenberg",1250,"2003-03-19",1374979
"61","E30254010000000000005230797401812","1250","31.3.2003",7335003,"49,337976","7,486198",915,64,734009216,66894,"Krähenberg",1250,"2003-03-31",1374979
"62","E30254010000000000005230797405750","1250","31.3.2003",7335003,"49,331644","7,4878",915,64,734009216,66894,"Krähenberg",1250,"2003-03-31",1374978
"63","E30254010000000000005230797501801","1500","17.1.2006",7334028,"49,266912","8,355917",100,77,733405028,67365,"Schwegenheim",1500,"2006-01-17",1833372
"64","E30254010000000000005230797501802","1500","31.1.2006",7334028,"49,268489","8,362973",100,77,733405028,67365,"Schwegenheim",1500,"2006-01-31",1833372
"65","E30254010000000000005230797501803","1500","23.12.2005",7334028,"49,265038","8,348838",100,77,733405028,67365,"Schwegenheim",1500,"2005-12-23",1833372
"66","E30254010000000000005230797601805","850","29.1.2002",7336052,"49,49695","7,345698",74,52,733610052,66871,"Konken",850,"2002-02-01",1134210
"67","E30254010000000000005230797601806","850","29.1.2002",7336052,"49,495237","7,344047",74,52,733610052,66871,"Konken",850,"2002-02-01",1134210
"68","E30254010000000000005230797601807","850","29.1.2002",7336052,"49,495481","7,347723",74,52,733610052,66871,"Konken",850,"2002-02-01",1134210
"69","E30254010000000000005230797606681","850","29.1.2002",7336052,"49,496783","7,351158",74,52,733610052,66871,"Konken",850,"2002-02-01",1134204
"70","E30254010000000000005230822702034","1500","10.4.2000",7333008,"49,628597","7,755712",67,66,733307008,67806,"Bisterschied",1500,"2000-04-10",1975377
"71","E30254010000000000005230822707035","500","4.11.1999",7333008,"49,628729","7,758726",65,40,733307008,67806,"Bisterschied",500,"1999-11-04",742214
"72","E30254010000000000005230823306682","1000","28.12.2000",7335203,"49,369523","7,467375",70,54,733501203,66894,"Martinshöhe",1000,"2000-12-28",1169164
"73","E30254010000000000005230823402040","600","28.12.2004",7336074,"49,686775","7,666451",78,44,733608074,67748,"Odenbach",600,"2004-12-28",716942
"74","E30254010000000000005230823407054","600","28.12.2004",7336074,"49,685214","7,665335",78,44,733608074,67748,"Odenbach",600,"2004-12-28",716934
"75","E30254010000000000005230826706683","1750","22.12.2003",7336021,"49,572734","7,492273",67,66,733610103,66887,"Welchweiler",1750,"2003-12-22",1186884
"76","E30254010000000000005230827307061","1800","27.2.2004",7333008,"49,629864","7,753883",98,66,733307008,67806,"Bisterschied",1800,"2004-02-27",2707546
"77","E30254010000000000005230837706693","500","5.2.1998",7333031,"49,679773","8,076552",65,40,733304031,67294,"Ilbesheim",500,"1998-02-05",725465
"78","E30254010000000000005230876501820","600","7.5.2002",7336069,"49,6504","7,6976",65,44,733608069,67759,"Nußbach",600,"2002-05-07",1022546
"79","E30254010000000000005230888706707","1600","12.12.2003",7336069,"49,6523","7,7038",98,70,733608069,67759,"Nußbach",1600,"2003-12-12",3219360
"80","E30254010000000000005230940402446","2000","13.4.2006",7338023,"49,293704","8,379747",105,90,733807023,67354,"Römerberg",2000,"2006-04-13",3159743
"81","E30254010000000000005230940406757","2000","1.10.2008",7338023,"49,296821","8,383127",105,90,733807023,67354,"Römerberg",2000,"2008-10-01",3052733
"82","E30254010000000000005231606303528","2000","14.2.2003",7335501,"49,520949","7,530289",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-02-14",2885151
"83","E30254010000000000005231606303529","2000","19.1.2003",7335501,"49,519808","7,533332",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-01-19",2885151
"84","E30254010000000000005231606303530","2000","16.1.2003",7335501,"49,518207","7,53529",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-01-16",2885151
"85","E30254010000000000005231606303531","2000","28.12.2002",7335501,"49,518739","7,539336",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2002-12-28",2885151
"86","E30254010000000000005231606303532","2000","29.12.2002",7335501,"49,519194","7,543122",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2002-12-29",2885151
"87","E30254010000000000005231606303533","2000","8.12.2004",7336087,"49,530546","7,589261",98,704,733608087,67753,"Rothselberg",2000,"2004-12-08",2411487
"88","E30254010000000000005231606303534","2000","2.12.2004",7336087,"49,521912","7,607461",98,704,733608087,67753,"Rothselberg",2000,"2004-12-02",2411484
"89","E30254010000000000005231607403543","1650","19.10.2000",7333038,"49,58767","8,079197",67,66,733302038,67304,"Kerzenheim",1650,"2000-10-19",1396482
"90","E30254010000000000005231615906699","1500","20.8.2003",7333038,"49,586088","8,068118",647,705,733302038,67304,"Kerzenheim",1500,"2003-08-20",1842254
"91","E30254010000000000005231640303562","2000","28.2.2007",7336047,"49,499972","7,404166",105,90,733609047,66909,"Hüffler",2000,"2007-02-28",3818634
"92","E30254010000000000005231640307069","2000","21.2.2007",7336047,"49,502427","7,404858",105,90,733609047,66909,"Hüffler",2000,"2007-02-21",3818627
"93","E30254010000000000005231819004016","800","9.8.2007",7340016,"49,324","7,61322",758,48,734006016,66919,"Hermersberg",800,"2007-08-09",1174216
"94","E30254010000000000005231819006705","800","7.8.2007",7340016,"49,324202","7,610776",758,48,734006016,66919,"Hermersberg",800,"2007-08-07",1174216
"95","E30254010000000000005231819007703","2000","8.7.2008",7340055,"49,323744","7,594404",138,82,734006016,66919,"Hermersberg",2000,"2008-07-10",4024250
"96","E30254010000000000005231819007704","2000","16.7.2008",7340055,"49,31567","7,593234",138,82,734006016,66919,"Hermersberg",2000,"2008-07-29",4024251
"97","E30254010000000000005231821504019","2000","3.8.2007",7336021,"49,575628","7,492944",65,70,733610103,66887,"Welchweiler",2000,"2007-08-03",1700281
"98","E30254010000000000005232123306711","2000","28.12.2007",7340015,"49,294891","7,624759",108,82,734006054,67714,"Waldfischbach-Burgalben",2000,"2007-12-28",3092015
"99","E30254010000000000005232123306712","2000","27.12.2007",7340015,"49,296296","7,631006",108,82,734006022,66989,"Höheinöd",2000,"2007-12-27",3092015
"100","E30254010000000000005232123306713","2000","30.1.2008",7340015,"49,291881","7,626631",108,82,734006054,67714,"Waldfischbach-Burgalben",2000,"2008-01-30",3092016
"101","E30254010000000000005232263805059","2000","4.3.2008",7337061,"49,170983","8,20202",105,90,733707061,76877,"Offenbach",2000,"2008-03-04",3564919
