"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2","d"
"387",387,"E31102010000000000002001466300002","2000","16.12.2010",7143315,50.660242,8.060175,108,82,714306286,56477,"Rennerod",2000,"2010-12-16",3653016.97,626,3653,391876,0.392,9.322,8
"388",388,"E31102010000000000002001749800001","800","29.12.2011",7143252,50.725391,7.802329,73,53,714302252,57629,"Kundert",800,"2011-12-29",1122621,293,1123,85849,0.086,13.077,6
"389",389,"E31102010000000000002001749800002","800","29.12.2011",7143252,50.725213,7.795547,73,53,714302252,57629,"Kundert",800,"2011-12-29",1122621,365,1123,133225,0.133,8.427,7
"390",390,"E31102010000000000002001763800001","800","22.12.2011",7143203,50.527725,7.873258,7325,53,714308203,56244,"Arnshöfen",800,"2011-12-22",1075047.5,284,1075,80656,0.081,13.329,5
"391",391,"E31102010000000000002001763800002","800","22.12.2011",7143203,50.529604,7.872282,73,53,714308203,56244,"Arnshöfen",800,"2011-12-22",1075047.5,284,1075,80656,0.081,13.329,5
"392",392,"E31102010000000000002001862100001","3200","10.2.2013",7143268,50.60975,7.75289,1376,110,714302268,56271,"Mündersbach",3200,"2013-02-10",6243281.33,531,6243,281961,0.282,22.142,5
"393",393,"E31102010000000000002001862100002","3200","10.2.2014",7143268,50.61311,7.75533,1376,110,714302268,56271,"Mündersbach",3200,"2014-02-10",6243281.33,530,6243,280900,0.281,22.226,5
"394",394,"E31102010000000000002001862100003","3200","22.7.2014",7143268,50.61376,7.74884,1432,110,714302268,56271,"Mündersbach",3200,"2014-07-22",6243281.33,471,6243,221841,0.222,28.143,4
"395",395,"E31102010000000000002002788000001","2400","19.12.2014",7143293,50.566649,7.940786,1406,1168,714309308,56457,"Westerburg",2400,"2014-12-19",6176677,514,6177,264196,0.264,23.379,0
"396",396,"E31102010000000000002002788000002","2400","22.12.2014",7143293,50.565065,7.935738,1406,1168,714309308,56457,"Westerburg",2400,"2014-12-22",6176677,514,6177,264196,0.264,23.379,0
"397",397,"E31102010000000000002002788000003","2400","15.12.2014",7143293,50.563011,7.941263,1406,1168,714309308,56457,"Westerburg-Gershasen",2400,"2014-12-15",6176677,524,6177,274576,0.275,22.495,0
"398",398,"E31102010000000000002002810800001","3200","9.2.2015",7143241,50.61924,7.76666,1432,110,714302241,57629,"Höchstenbach",3200,"2015-02-09",6494274,432,6494,186624,0.187,34.799,4
"399",399,"E31102010000000000002002810800002","3200","9.2.2015",7143241,50.62186,7.76432,1432,110,714302241,57629,"Höchstenbach",3200,"2015-02-09",6494274,432,6494,186624,0.187,34.799,4
"400",400,"E31102010000000000002002810800003","3200","14.7.2015",7143241,50.61936,7.75456,1432,110,714302241,57629,"Höchstenbach",3200,"2015-07-14",6494274,486,6494,236196,0.236,27.495,4
"401",401,"E31102010000000000002002810800004","3200","5.8.2015",7143241,50.62193,7.75805,1432,110,714302241,57629,"Höchstenbach",3200,"2015-08-05",6494274,487,6494,237169,0.237,27.382,4
"402",402,"E31102010000000000002002810800005","3200","25.8.2015",7143268,50.61653,7.75162,1432,110,714302268,56271,"Mündersbach",3200,"2015-08-25",6494274,471,6494,221841,0.222,29.274,4
"403",403,"E31102010000000000002003074700001","2350","15.12.2015",7143226,50.519124,7.988923,138,92,714309226,56459,"Girkenroth",2350,"2015-12-04",4082526,419,4083,175561,0.176,23.254,5
"404",404,"E31102010000000000002003157600001","2530","21.3.2016",7143242,50.628907,8.008926,139,120,714309242,56462,"Höhn",2530,"2016-03-21",6379431,478,6379,228484,0.228,27.921,4
"405",405,"E31102010000000000002003157600002","2530","15.3.2016",7143242,50.628485,8.016412,139,120,714309242,56462,"Höhn",2530,"2016-03-15",6379431.01,685,6379,469225,0.469,13.596,6
"406",406,"E31102010000000000002003157600003","2530","10.3.2016",7143242,50.628856,8.001931,139,120,714309242,56462,"Höhn",2530,"2016-03-10",6379431,0,6379,0,0,Inf,0
"407",407,"E31102010000000000002011142500001","3000","24.11.2017",7143501,50.536,7.895,149,1157,NA,NA,NA,NA,NA,NA,549,NA,301401,0.301,NA,0
"408",408,"E31102010000000000002011142500001","3000","30.9.2017",7143220,50.536,7.889,149,1157,NA,NA,NA,NA,NA,NA,549,NA,301401,0.301,NA,0
"409",409,"E31102010000000000002011142500002","3000","17.11.2017",7143501,50.54,7.89,149,1157,NA,NA,NA,NA,NA,NA,581,NA,337561,0.338,NA,1
"410",410,"E31102010000000000002011282000001","3230","27.3.2018",7143242,50.625571,8.008841,134,130,NA,NA,NA,NA,NA,NA,478,NA,228484,0.228,NA,4
"411",411,"E31102010000000000002011282000002","3230","27.3.2018",7143242,50.628856,8.001931,134,130,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0
"412",412,"E311400100000000000W3TR0S00000552","2400","23.1.2020",7338016,49.527819,8.30147,141,1168,NA,NA,NA,NA,NA,NA,875,NA,765625,0.766,NA,1
"413",413,"E31238010000000000000000251307557","2350","30.9.2017",7134042,49.602232,7.219564,138,92,NA,NA,NA,NA,NA,NA,487,NA,237169,0.237,NA,5
"414",414,"E31238010000000000000000251370106","2300","30.7.2014",7134042,49.597276,7.217835,138,82,713401075,55776,"Ruschberg",2300,"2014-07-30",4230378,514,4230,264196,0.264,16.012,6
"415",415,"E31238010000000000000000617332516","2000","7.8.2007",7140111,49.573671,7.22213,105,90,714004145,55487,"Sohren",2000,"2007-08-07",2963855,110,2964,12100,0.012,244.947,1
"416",416,"E31238010000000000000000617332517","2000","30.7.2007",7140111,49.57379,7.215399,105,90,714004145,55487,"Sohren",2000,"2007-07-30",2963855,638,2964,407044,0.407,7.281,7
"417",417,"E31238010000000000000000617339031","2000","9.8.2007",7140111,49.573032,7.222754,105,90,714004145,55487,"Sohren",2000,"2007-08-09",2963855,110,2964,12100,0.012,244.947,1
"418",418,"E31238010000000000000000832515818","1300","19.10.2000",7232024,49.852829,6.535372,85,60,723507501,54298,"Welschbillig",1300,"2000-10-19",1513216,326,1513,106276,0.106,14.239,5
"419",419,"E31238010000000000000000832518851","1300","11.10.2000",7232024,49.850782,6.536796,85,60,723507501,54298,"Welschbillig",1300,"2000-10-11",1495735,326,1496,106276,0.106,14.074,5
"420",420,"E31238010000000000000000832518852","1300","10.10.2000",7232024,49.845009,6.540861,85,60,723507501,54298,"Welschbillig",1300,"2000-10-12",1420579,457,1421,208849,0.209,6.802,8
"421",421,"E31238010000000000000000832518853","1300","19.10.2000",7232024,49.842084,6.543303,85,60,723507501,54298,"Welschbillig",1300,"2001-01-17",1487101,385,1487,148225,0.148,10.033,6
"422",422,"E31238010000000000000000832518854","1300","19.10.2000",7232024,49.845155,6.534662,85,60,723507501,54298,"Welschbillig",1300,"2000-10-19",1593567,376,1594,141376,0.141,11.272,6
"423",423,"E31238010000000000000000832518855","1500","21.12.2000",7232024,49.844018,6.529491,85,70,723507501,54298,"Welschbillig",1500,"2000-12-27",1711244,337,1711,113569,0.114,15.068,5
"424",424,"E31238010000000000000000832518856","1500","27.12.2000",7232024,49.844816,6.520129,85,70,723507501,54298,"Welschbillig",1500,"2000-12-29",1680107,462,1680,213444,0.213,7.871,7
"425",425,"E31238010000000000000000832518857","1500","29.12.2000",7232024,49.843604,6.51176,85,70,723507501,54298,"Welschbillig",1500,"2000-12-21",1797538,805,1798,648025,0.648,2.774,12
"426",426,"E31238010000000000000000832518858","1500","26.4.2001",7232024,49.864775,6.555144,85,70,723507501,54298,"Welschbillig",1500,"2001-04-26",1787767,398,1788,158404,0.158,11.286,6
"427",427,"E31238010000000000000000832518859","1500","24.4.2001",7232061,49.868302,6.554489,85,70,723507501,54298,"Welschbillig",1500,"2001-04-26",1566272,381,1566,145161,0.145,10.79,5
"428",428,"E31238010000000000000000832518861","1500","6.5.2001",7232024,49.866087,6.54762,85,70,723507501,54298,"Welschbillig",1500,"2001-05-28",1542925,373,1543,139129,0.139,11.09,5
"429",429,"E31238010000000000000000832518862","1500","31.5.2001",7232024,49.872355,6.547329,85,70,723507501,54298,"Welschbillig",1500,"2001-05-06",1805593,455,1806,207025,0.207,8.722,6
"430",430,"E31238010000000000000000832518863","1500","28.5.2001",7232024,49.86939,6.550704,85,70,723507501,54298,"Welschbillig",1500,"2001-05-31",1642587,387,1643,149769,0.15,10.967,6
"431",431,"E31238010000000000000000832518864","1500","29.6.2002",7232024,49.840868,6.528345,85,70,723507501,54298,"Welschbillig",1500,"2002-06-29",1703338,375,1703,140625,0.141,12.113,5
"432",432,"E31238010000000000000000832518865","1500","3.6.2002",7232024,49.836955,6.534599,85,70,723507501,54298,"Welschbillig",1500,"2002-06-03",1529632,441,1530,194481,0.194,7.865,6
"433",433,"E31238010000000000000001100406639","3370","6.5.2013",7134058,49.694337,7.214744,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-05-06",4916706,385,4917,148225,0.148,33.171,4
"434",434,"E31238010000000000000001100472125","3370","10.6.2013",7134058,49.6959,7.211443,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-06-10",4916706,385,4917,148225,0.148,33.171,4
"435",435,"E31238010000000000000001100472126","3370","27.5.2013",7134058,49.694475,7.205905,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-05-27",4916706,447,4917,199809,0.2,24.607,4
"436",436,"E31238010000000000000001100472129","3370","1.7.2013",7134058,49.697265,7.203908,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-07-01",4916706,411,4917,168921,0.169,29.107,4
"437",437,"E31238010000000000000001100472130","3370","12.6.2013",7134094,49.699992,7.202756,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-06-12",4916706,411,4917,168921,0.169,29.107,4
"438",438,"E31238010000000000000001128806256","3000","29.12.2014",7134058,49.676955,7.186357,119,112,713402031,55767,"Gollenberg",3000,"2014-12-29",5252493,2628,5252,6906384,6.906,0.761,23
"439",439,"E31238010000000000000001146993248","3050","22.8.2014",7134019,49.706402,7.412187,149,101,713400045,55743,"Idar-Oberstein",3050,"2014-08-22",6603356,725,6603,525625,0.526,12.563,7
"440",440,"E31238010000000000000001151176809","2400","29.8.2015",7336050,49.648055,7.488316,120,117,733608100,67746,"Unterjeckenbach",2400,"2015-08-29",6057022,508,6057,258064,0.258,23.471,4
"441",441,"E31238010000000000000001151176810","2400","17.9.2015",7336050,49.646372,7.493034,120,117,733608100,67746,"Unterjeckenbach",2400,"2015-09-17",6057022,508,6057,258064,0.258,23.471,4
"442",442,"E31238010000000000000001151176811","2400","25.8.2015",7336050,49.642359,7.492147,120,117,733608100,67746,"Unterjeckenbach",2400,"2015-08-25",6057022,590,6057,348100,0.348,17.4,5
"443",443,"E31238010000000000000001171704502","3050","10.12.2014",7134002,49.627821,7.068706,135,101,713402010,55765,"Birkenfeld",3050,"2014-12-10",5769180,1036,5769,1073296,1.073,5.375,10
"444",444,"E31238010000000000000001171796208","3050","26.11.2014",7134002,49.635112,7.063023,135,101,713402010,55765,"Birkenfeld",3050,"2014-11-26",5769180,456,5769,207936,0.208,27.745,5
"445",445,"E31238010000000000000001171796209","3050","7.12.2014",7134002,49.635238,7.067844,135,101,713402010,55765,"Birkenfeld",3050,"2014-12-07",5769180,414,5769,171396,0.171,33.66,4
"446",446,"E31238010000000000000001171796211","3050","31.12.2014",7134002,49.634587,7.072107,135,101,713402010,55765,"Birkenfeld",3050,"2014-12-31",5769180,414,5769,171396,0.171,33.66,4
"447",447,"E31238010000000000000001172031041","2350","16.12.2014",7134010,49.628894,7.146748,138,92,713402010,55765,"Birkenfeld",2350,"2014-12-16",1628,404,2,163216,0.163,0.01,4
"448",448,"E31238010000000000000001172096212","2350","17.12.2014",7134010,49.62612,7.14659,138,92,713402010,55765,"Birkenfeld",2350,"2014-12-17",1628,404,2,163216,0.163,0.01,4
"449",449,"E31238010000000000000001172096213","2350","19.12.2014",7134010,49.624972,7.153543,138,92,713402010,55765,"Birkenfeld",2350,"2014-12-19",1628,678,2,459684,0.46,0.004,7
"450",450,"E31238010000000000000001172292046","3050","24.7.2014",7134053,49.607316,7.08449,135,101,713402010,55765,"Birkenfeld",3050,"2014-07-24",5690953,524,5691,274576,0.275,20.726,5
"451",451,"E31238010000000000000001172292048","3050","15.7.2014",7134053,49.615259,7.081397,135,101,713402010,55765,"Birkenfeld",3050,"2014-07-15",5690953,402,5691,161604,0.162,35.215,4
"452",452,"E31238010000000000000001172292049","2350","11.9.2014",7134053,49.612571,7.080439,138,92,713402010,55765,"Birkenfeld",2350,"2014-09-11",4476693,402,4477,161604,0.162,27.702,4
"453",453,"E31238010000000000000001172292050","2350","4.8.2014",7134053,49.603713,7.08449,138,92,713402010,55765,"Birkenfeld",2350,"2014-08-04",4476693,524,4477,274576,0.275,16.304,6
"454",454,"E31238010000000000000001172400216","3200","29.8.2016",7134026,49.60046,7.30144,143,114,713401075,55776,"Ruschberg",3170,"2016-08-29",6004805,486,6005,236196,0.236,25.423,4
"455",455,"E31238010000000000000001172406137","3200","29.8.2016",7134026,49.59715,7.30215,143,114,713401075,55776,"Ruschberg",3170,"2016-08-29",6004805,486,6005,236196,0.236,25.423,4
"456",456,"E31238010000000000000001172406138","3200","3.9.2016",7134026,49.60582,7.29641,143,114,713401075,55776,"Ruschberg",3170,"2016-09-03",6004805,400,6005,160000,0.16,37.53,4
"457",457,"E31238010000000000000001172406139","3200","1.9.2016",7134026,49.60314,7.29734,143,114,713401075,55776,"Ruschberg",3170,"2016-09-01",6004805,400,6005,160000,0.16,37.53,4
"458",458,"E31238010000000000000001256208450","2000","28.9.2007",7140076,50.005359,7.511563,98,71,714008144,55469,"Simmern",2000,"2007-09-28",2128880,399,2129,159201,0.159,13.372,6
"459",459,"E31238010000000000000001256241038","2000","28.9.2007",7140076,50.00789,7.513257,98,71,714008144,55469,"Simmern",2000,"2007-09-28",2128880,339,2129,114921,0.115,18.525,5
"460",460,"E31238010000000000000001256241039","2000","10.10.2007",7140076,50.010168,7.514094,98,71,714008144,55469,"Simmern",2000,"2007-10-10",2128880,275,2129,75625,0.076,28.15,4
"461",461,"E31238010000000000000001256241040","2000","16.10.2007",7140076,50.011944,7.513034,98,71,714008144,55469,"Simmern",2000,"2007-10-16",2128880,275,2129,75625,0.076,28.15,4
"462",462,"E31238010000000000000001256257990","2300","29.5.2013",7140076,50.015933,7.51622,138,82,714008144,55469,"Simmern",2300,"2013-05-29",2932957,151,2933,22801,0.023,128.633,2
"463",463,"E31238010000000000000003031635350","2000","5.12.2007",7232320,50.195398,6.341968,105,90,723206320,54595,"Watzerath",2000,"2007-12-27",2630211,452,2630,204304,0.204,12.874,5
"464",464,"E31238010000000000000003031645431","2000","15.11.2007",7232320,50.193575,6.336968,105,90,723206320,54595,"Watzerath",2000,"2007-11-15",2630211,383,2630,146689,0.147,17.931,4
"465",465,"E31238010000000000000003031645432","2000","27.11.2007",7232320,50.195618,6.332342,105,90,723206320,54595,"Watzerath",2000,"2007-11-19",2630211,412,2630,169744,0.17,15.495,5
"466",466,"E31238010000000000000003031645433","2000","13.12.2007",7232320,50.190417,6.332632,105,90,723206320,54595,"Watzerath",2000,"2007-12-20",2630211,603,2630,363609,0.364,7.234,7
"467",467,"E31238010000000000000003031645434","2000","13.12.2007",7232320,50.187662,6.325893,105,90,723206320,54595,"Watzerath",2000,"2007-12-20",2630211,417,2630,173889,0.174,15.126,5
"468",468,"E31238010000000000000003031645435","2000","19.11.2007",7232320,50.190647,6.339121,105,90,723206320,54595,"Watzerath",2000,"2007-12-18",2630211,442,2630,195364,0.195,13.463,5
"469",469,"E31238010000000000000003031645436","2000","20.11.2007",7232320,50.192987,6.345072,105,90,723206320,54595,"Watzerath",2000,"2007-12-13",2630211,452,2630,204304,0.204,12.874,5
"470",470,"E31238010000000000000003031645437","2000","20.12.2007",7232320,50.184486,6.33959,105,90,723206320,54595,"Watzerath",2000,"2007-12-18",2630211,375,2630,140625,0.141,18.704,4
"471",471,"E31238010000000000000003031645438","2000","18.12.2007",7232320,50.183887,6.324464,105,90,723206320,54595,"Watzerath",2000,"2007-12-13",2630211,447,2630,199809,0.2,13.164,5
"472",472,"E31238010000000000000003031645439","2000","18.12.2007",7232320,50.186406,6.329942,105,90,723206320,54595,"Watzerath",2000,"2007-11-27",2630211,417,2630,173889,0.174,15.126,5
"473",473,"E31238010000000000000003031645440","2000","20.12.2007",7232320,50.186505,6.342125,105,90,723206320,54595,"Watzerath",2000,"2007-11-27",2630206,375,2630,140625,0.141,18.704,4
"474",474,"E31238010000000000000003031645441","2000","27.12.2007",7232320,50.179649,6.324029,105,90,723206320,54595,"Watzerath",2000,"2007-12-05",2630206,614,2630,376996,0.377,6.977,7
"475",475,"E31238010000000000000003031645442","2000","27.12.2007",7232320,50.183529,6.329248,105,90,723206320,54595,"Watzerath",2000,"2007-11-20",2630206,421,2630,177241,0.177,14.84,5
"476",476,"E31238010000000000000003290216178","2000","5.2.2008",7232329,50.191909,6.246049,78,80,723206296,54595,"Prüm",2000,"2007-12-20",2447788,357,2448,127449,0.127,19.206,4
"477",477,"E31238010000000000000003290245026","2000","5.1.2008",7232329,50.1872,6.241669,100,80,723206296,54595,"Prüm",2000,"2007-12-20",2447788,348,2448,121104,0.121,20.212,4
"478",478,"E31238010000000000000003290245027","2000","6.2.2008",7232329,50.189603,6.241374,100,80,723206296,54595,"Prüm",2000,"2007-12-20",2447788,337,2448,113569,0.114,21.553,4
"479",479,"E31238010000000000000003290245028","2000","16.6.2008",7232329,50.191208,6.238743,100,80,723206296,54595,"Prüm",2000,"2007-12-20",2447788,337,2448,113569,0.114,21.553,4
"480",480,"E31238010000000000000003290245029","2000","30.12.2007",7232329,50.191754,6.213214,100,87,723206296,54595,"Prüm",2000,"2007-12-20",2447786,443,2448,196249,0.196,12.473,5
"481",481,"E31238010000000000000003290245031","2000","20.12.2007",7232329,50.19432,6.210596,100,87,723206296,54595,"Prüm",2000,"2007-12-20",2447786,443,2448,196249,0.196,12.473,5
"482",482,"E31238010000000000000003309412930","2000","29.12.2007",7232218,49.849572,6.528277,105,90,723507501,54298,"Welschbillig",2000,"2007-12-29",3314600,386,3315,148996,0.149,22.246,4
"483",483,"E31238010000000000000003309444520","2000","28.12.2007",7232218,49.846834,6.5264,105,90,723507501,54298,"Welschbillig",2000,"2007-12-28",3314600,416,3315,173056,0.173,19.153,5
"484",484,"E31238010000000000000004616514668","2000","7.5.2008",7232201,50.113337,6.31222,1135,71,723201201,54687,"Arzfeld",2000,"2008-05-07",2767460,304,2767,92416,0.092,29.946,4
"485",485,"E31238010000000000000004616542072","2000","8.5.2008",7232201,50.11384,6.325267,1135,71,723201201,54687,"Arzfeld",2000,"2008-05-08",2767460,650,2767,422500,0.422,6.55,9
"486",486,"E31238010000000000000004660800067","2000","24.12.2002",7133057,49.730308,7.598812,60,80,713310057,55568,"Lauschied",2000,"2002-12-24",2041007,250,2041,62500,0.062,32.656,3
"487",487,"E31238010000000000000004872343798","2000","23.7.2008",7135075,50.2525,7.2475,105,90,713502075,56754,"Roes",2000,"2008-07-23",4023848,768,4024,589824,0.59,6.822,9
"488",488,"E31238010000000000000005336040056","1500","28.12.2003",7232305,50.217054,6.520561,85,70,NA,NA,NA,NA,NA,NA,257,NA,66049,0.066,NA,4
"489",489,"E31238010000000000000005793558357","2000","13.1.2009",7140010,50.097857,7.542835,NA,NA,714003010,56290,"Beltheim",2000,"2009-01-13",3707672,3564,3708,12702096,12.702,0.292,NA
"490",490,"E31238010000000000000005883130321","2000","7.11.2008",7140001,50.04195,7.47698,105,90,714008144,55469,"Simmern",2000,"2008-11-07",2842645,355,2843,126025,0.126,22.556,4
"491",491,"E31238010000000000000005883156156","2000","7.11.2008",7140001,50.041294,7.482628,105,90,714008144,55469,"Simmern",2000,"2008-11-07",2842645,428,2843,183184,0.183,15.518,5
"492",492,"E31238010000000000000005883156158","2000","10.11.2008",7140001,50.044681,7.482816,105,90,714008144,55469,"Simmern",2000,"2008-11-10",2842645,449,2843,201601,0.202,14.1,5
"493",493,"E31238010000000000000005883156161","2000","10.11.2008",7140147,50.051917,7.47656,105,90,714008144,55469,"Simmern",2000,"2008-11-10",2842645,391,2843,152881,0.153,18.594,4
"494",494,"E31238010000000000000005883156162","2000","12.11.2008",7140147,50.04431,7.47803,105,90,714008144,55469,"Simmern",2000,"2008-11-12",2842646,355,2843,126025,0.126,22.556,4
"495",495,"E31238010000000000000005883156165","2000","14.11.2008",7140147,50.046803,7.477171,105,90,714008144,55469,"Simmern",2000,"2008-11-14",2842646,353,2843,124609,0.125,22.813,4
"496",496,"E31238010000000000000005883156166","2000","12.11.2008",7140147,50.049247,7.477246,105,90,714008144,55469,"Simmern",2000,"2008-11-12",2842646,353,2843,124609,0.125,22.813,4
"497",497,"E31238010000000000000006388746439","2000","22.1.2009",7135023,50.248225,7.180356,95,90,713502045,56759,"Kaisersesch",2000,"2009-01-22",3730388,346,3730,119716,0.12,31.16,4
"498",498,"E31238010000000000000006388746440","2000","19.1.2009",7135023,50.250039,7.177903,95,90,713502045,56759,"Kaisersesch",2000,"2009-01-19",3730388,346,3730,119716,0.12,31.16,4
"499",499,"E31238010000000000000006535245179","800","19.1.2009",7233036,50.266316,6.598163,73,53,723306036,54570,"Kalenborn-Scheuern",800,"2009-01-19",1162481,297,1162,88209,0.088,13.179,6
"500",500,"E31238010000000000000007278100131","1500","7.4.2009",7135042,50.2132,7.1596,1115,77,713502042,56814,"Illerich",1500,"2009-03-20",2216607,556,2217,309136,0.309,7.17,7
"501",501,"E31238010000000000000007278122515","1500","14.4.2009",7135042,50.2134,7.1656,1115,77,713502042,56814,"Illerich",1500,"2009-03-20",2216607,358,2217,128164,0.128,17.295,5
"502",502,"E31238010000000000000007336849889","2000","12.5.2009",7140123,50.019142,7.43312,108,82,714003001,56288,"Alterkülz",2000,"2009-05-12",3282823,321,3283,103041,0.103,31.859,4
"503",503,"E31238010000000000000007336849890","2000","4.5.2009",7140123,50.018168,7.436217,108,82,714003001,56288,"Alterkülz",2000,"2009-05-04",3282823,321,3283,103041,0.103,31.859,4
"504",504,"E31238010000000000000007336857996","2000","4.8.2010",7140001,50.038993,7.479737,108,82,714003001,56288,"Alterkülz",2000,"2010-08-04",3282823,428,3283,183184,0.183,17.921,5
"506",506,"E31238010000000000000007743039721","2000","24.9.2009",7232061,49.875298,6.549011,105,90,723507501,54298,"Welschbillig",2000,"2009-09-24",3458648,376,3459,141376,0.141,24.464,4
"507",507,"E31238010000000000000007743051643","2000","19.6.2009",7232061,49.870928,6.554417,105,90,723507501,54298,"Welschbillig",2000,"2009-06-19",3456837,40,3457,1600,0.002,2160.523,0
"508",508,"E31238010000000000000007743051644","2000","27.5.2009",7232061,49.866267,6.551583,105,90,723507501,54298,"Welschbillig",2000,"2009-05-27",3456837,373,3457,139129,0.139,24.846,4
"509",509,"E31238010000000000000007743051645","2000","3.6.2009",7232061,49.877706,6.550489,105,90,723507501,54298,"Welschbillig",2000,"2009-06-03",3456837,376,3457,141376,0.141,24.451,4
"510",510,"E31238010000000000000007743057608","2000","2.6.2009",7232061,49.870139,6.557883,105,90,723507501,54298,"Welschbillig",2000,"2009-06-02",3456837,345,3457,119025,0.119,29.043,4
"511",511,"E31238010000000000000008589909985","2000","12.8.2009",7135051,50.209612,7.145588,9838,82,713502051,56814,"Landkern",2000,"2009-08-12",3606951,357,3607,127449,0.127,28.301,4
"512",512,"E31238010000000000000008589922445","2000","12.8.2009",7135051,50.207162,7.146132,9838,82,713502051,56814,"Landkern",2000,"2009-08-12",3606951,282,3607,79524,0.08,45.357,3
"513",513,"E31238010000000000000008589922446","2000","17.8.2009",7135051,50.20525,7.146744,9838,82,713502051,56814,"Landkern",2000,"2009-08-17",3606951,282,3607,79524,0.08,45.357,3
"514",514,"E31238010000000000000008589922448","2000","19.8.2009",7135051,50.203842,7.149036,9838,82,713502051,56814,"Landkern",2000,"2009-08-19",3606951,294,3607,86436,0.086,41.73,4
"515",515,"E31238010000000000000009847346438","2500","17.12.2009",7135093,50.220924,7.208903,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-17",3068603,443,3069,196249,0.196,15.636,5
"516",516,"E31238010000000000000009847346441","2500","8.12.2009",7135093,50.220301,7.213584,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-08",3068603,437,3069,190969,0.191,16.069,5
"517",517,"E31238010000000000000009847346442","2500","17.12.2009",7135093,50.217923,7.20431,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-17",3068604,444,3069,197136,0.197,15.566,5
"518",518,"E31238010000000000000009847346443","2500","15.12.2009",7135093,50.217462,7.209056,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-15",3068604,401,3069,160801,0.161,19.083,4
"519",519,"E31238010000000000000009847346444","2500","14.12.2009",7135093,50.214479,7.18508,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-14",3068604,1127,3069,1270129,1.27,2.416,13
"520",520,"E31238010000000000000009847346445","2500","25.6.2010",7135011,50.223249,7.214657,100,90,713502045,56759,"Kaisersesch",2500,"2010-06-25",3068604,437,3069,190969,0.191,16.069,5
"521",521,"E31238010000000000000009948159604","2000","8.12.2009",7140153,50.08938,7.40991,105,90,714003153,56290,"Uhler",2000,"2009-12-08",3571686,367,3572,134689,0.135,26.518,4
"522",522,"E31238010000000000000009948159613","2000","10.12.2009",7140153,50.09362,7.40648,105,90,714003153,56290,"Uhler",2000,"2009-12-10",3571686,367,3572,134689,0.135,26.518,4
"523",523,"E31238010000000000000009948159616","2000","15.12.2009",7140153,50.0919,7.40939,105,90,714003153,56290,"Uhler",2000,"2009-12-15",3572761,367,3573,134689,0.135,26.526,4
"524",524,"E31238010000000000000010665858002","2000","29.6.2010",7232218,49.851935,6.530173,105,90,723507501,54298,"Welschbillig",2000,"2009-12-18",3527211,380,3527,144400,0.144,24.427,4
"525",525,"E31238010000000000000010665858004","2000","26.6.2010",7232218,49.849919,6.532765,105,90,723507501,54298,"Welschbillig",2000,"2009-12-18",3527211,380,3527,144400,0.144,24.427,4
"526",526,"E31238010000000000000010665858005","2000","18.12.2009",7232218,49.846961,6.530828,105,90,723507501,54298,"Welschbillig",2000,"2010-06-29",3525097,416,3525,173056,0.173,20.37,5
"527",527,"E31238010000000000000010665858006","2000","18.12.2009",7232218,49.842525,6.52355,105,90,723507501,54298,"Welschbillig",2000,"2010-06-26",3525097,462,3525,213444,0.213,16.515,5
"528",528,"E31238010000000000000010665858007","2000","17.6.2010",7232218,49.838612,6.539703,105,90,723507501,54298,"Welschbillig",2000,"2010-06-25",3527211,529,3527,279841,0.28,12.604,6
"529",529,"E31238010000000000000010665858008","2000","25.6.2010",7232218,49.847909,6.535816,105,90,723507501,54298,"Welschbillig",2000,"2010-06-17",3527211,409,3527,167281,0.167,21.086,5
"530",530,"E31238010000000000000011115023665","1500","25.3.2011",7235114,49.687656,6.904489,NA,82,723501045,54411,"Hermeskeil",1500,"2011-03-25",2708443,534,2708,285156,0.285,9.498,7
"531",531,"E31238010000000000000011115080695","1500","30.12.2009",7235114,49.691497,6.89164,NA,77,723501045,54411,"Hermeskeil",1500,"2009-12-30",2553277,399,2553,159201,0.159,16.038,5
"532",532,"E31238010000000000000011115080697","1500","29.12.2009",7235114,49.690041,6.895224,NA,77,723501045,54411,"Hermeskeil",1500,"2009-12-29",2553277,399,2553,159201,0.159,16.038,5
"534",534,"E31238010000000000000011693445364","800","8.6.2010",7135038,50.2348,7.185411,73,53,713502028,56761,"Eulgem",800,"2010-06-08",1449438,1517,1449,2301289,2.301,0.63,29
"535",535,"E31238010000000000000012063458671","800","24.6.2010",7233036,50.267572,6.595617,76,48,723306036,54570,"Kalenborn-Scheuern",800,"2010-07-09",996808,252,997,63504,0.064,15.697,5
