"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2","d"
"17",17,"E30254010000000000005230788301709","1500","4.6.2002",7340055,49.322341,7.597756,100,77,734009055,66919,"Weselberg",1380,"2002-06-04",2445573,380,2446,144400,0.144,16.936,5
"18",18,"E30254010000000000005230788306675","2000","15.1.2002",7340055,49.319475,7.598403,100,80,734009055,66919,"Weselberg",1800,"2002-01-15",3170560,423,3171,178929,0.179,17.72,5
"19",19,"E30254010000000000005230788601719","1800","24.7.2003",7332029,49.613402,8.139705,65,70,733207029,67271,"Kindenheim",1800,"2003-07-24",2518435,527,2518,277729,0.278,9.068,8
"20",20,"E30254010000000000005230788601720","1800","17.7.2003",7332029,49.612183,8.132753,65,70,733207029,67271,"Kindenheim",1800,"2003-07-17",2518435,438,2518,191844,0.192,13.128,6
"21",21,"E30254010000000000005230788607050","1800","30.7.2003",7332029,49.615895,8.143761,65,66,733207029,67271,"Kindenheim",1800,"2003-07-30",2518436,389,2518,151321,0.151,16.643,6
"22",22,"E30254010000000000005230788701721","2000","12.6.2002",7335021,49.365883,7.619488,100,80,733511037,66851,"Queidersbach",2000,"2002-06-12",3308188,2177,3308,4739329,4.739,0.698,27
"23",23,"E30254010000000000005230789301729","1500","21.12.2003",7334001,49.173358,8.268825,100,77,733401001,76756,"Bellheim",1500,"2003-12-21",2282789,581,2283,337561,0.338,6.763,8
"24",24,"E30254010000000000005230789301730","1500","21.12.2003",7334001,49.174193,8.262902,100,77,733401001,76756,"Bellheim",1500,"2003-12-21",2282789,319,2283,101761,0.102,22.433,4
"25",25,"E30254010000000000005230789306702","1500","17.12.2003",7334001,49.175425,8.260155,100,77,733401001,76756,"Bellheim",1500,"2003-12-17",2282790,319,2283,101761,0.102,22.433,4
"26",26,"E30254010000000000005230789401732","1800","16.7.2004",7335033,49.552833,7.656802,65,66,733510033,67737,"Olsbrücken",1800,"2004-07-16",2073185,580,2073,336400,0.336,6.163,9
"27",27,"E30254010000000000005230789401733","1800","27.7.2004",7335033,49.556707,7.65823,65,66,733510033,67737,"Olsbrücken",1800,"2004-07-27",2073177,580,2073,336400,0.336,6.163,9
"28",28,"E30254010000000000005230789401734","2000","3.12.2004",7335029,49.577767,7.729233,98,70,733510029,67700,"Niederkirchen",2000,"2005-03-24",2554238,260,2554,67600,0.068,37.785,4
"29",29,"E30254010000000000005230789401735","2000","30.11.2004",7335029,49.576873,7.731607,98,77,733510029,67700,"Niederkirchen",2000,"2005-03-24",2554238,260,2554,67600,0.068,37.785,3
"30",30,"E30254010000000000005230789401736","2000","24.3.2005",7335029,49.584019,7.731028,98,70,733510029,67700,"Niederkirchen",2000,"2004-11-30",2554238,284,2554,80656,0.081,31.668,4
"31",31,"E30254010000000000005230789401737","2000","24.3.2005",7335029,49.585967,7.731109,98,70,733510029,67700,"Niederkirchen",2000,"2004-12-02",2554238,284,2554,80656,0.081,31.668,4
