gemeinde,vg,kreis,datum,nennleist,nabenhoehe,rotor,gesamthoeh,bemerkung,planstd,gem_neu,xcoord,ycoord
Horn,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2016/12/29,"2300",138.38,92.00,184.38,Horn,am Netz,"714008058",396952.999997788,5545343.99999961
Alterkülz,Kastellaun,Rhein-Hunsrück-Kreis,2010/08/04,"2000",108.00,82.00,149.00,AlterkÃ¼lz III,am Netz,"714003001",391136.6729,5544072.8265
Kappel,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2013/09/12,"2300",138.38,82.00,179.38,Kappel II WEA 10,am Netz,"714004062",383831,5541847
Kappel,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2011/12/23,"2300",138.38,82.00,179.38,Kirchberg/Faas (K1),am Netz,"714004062",383659,5540924
Kappel,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2011/11/30,"2300",138.38,82.00,179.38,Kirchberg/Faas (K7),am Netz,"714004062",384254.7113,5539639.0663
Reckershausen,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2011/11/21,"2300",138.38,82.00,179.38,Kirchberg/Faas (OGR4),am Netz,"714004122",385677.1831,5539584.9738
Reich,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2012/02/01,"2300",138.38,82.00,179.38,Kirchberg/Faas (RE3),am Netz,"714008123",386503.9839,5538997.545
Biebern,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2013/12/02,"2300",138.38,82.00,179.38,Kieselheide/Biebern,am Netz,"714008015",388862,5540301
Fronhofen,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2013/11/29,"2300",138.38,82.00,179.38,Kieselheide/Fronhof,am Netz,"714008039",389151,5540220
Fronhofen,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2013/11/20,"2300",138.38,82.00,179.38,Kieselheide/Fronhof,am Netz,"714008039",389416,5539942
Külz (Hunsrück),Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2013/12/20,"2300",138.38,82.00,179.38,Kieselheide/KÃ¼lz,am Netz,"714008076",389834,5540132
Külz (Hunsrück),Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2013/12/18,"2300",138.38,82.00,179.38,Kieselheide/KÃ¼lz,am Netz,"714008076",390194,5540091
Külz (Hunsrück),Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2012/08/03,"2300",138.38,82.00,179.38,KÃ¼lz II,am Netz,"714008076",393810.2235,5540850.168
Külz (Hunsrück),Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2012/08/03,"2300",138.38,82.00,179.38,KÃ¼lz II,am Netz,"714008076",393826.2155,5540549.2859
Altweidelbach,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2015/10/12,"2350",138.00,92.00,184.00,Altweidelbach II (001),am Netz,"714008002",398201,5538813
Altweidelbach,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2015/08/11,"2300",138.00,92.00,184.00,Altweidelbach II (002),am Netz,"714008002",397923,5540077
Altweidelbach,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2015/08/24,"2300",138.00,92.00,184.00,Altweidelbach II (003),am Netz,"714008002",397609,5540068
Altweidelbach,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2015/08/27,"2350",138.00,92.00,184.00,Altweidelbach II (004),am Netz,"714008002",398049,5540347
Benzweiler,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2017/07/31,"3300",137.00,114.00,200.00,Benzweiler,am Netz,"714008011",400093.999996444,5543287.99999928
Benzweiler,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2017/07/26,"3300",137.00,114.00,200.00,Benzweiler,am Netz,"714008011",400632.999993148,5543299.9999986
Neuerkirch,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2014/12/22,"3170",143.00,114.00,200.00,Neuerkirch II,am Netz,"714008101",393278,5541833
Riegenroth,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2012/12/30,"3170",143.00,114.00,200.00,Riegenroth,am Netz,"714008126",398215,5547024
Riegenroth,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2012/12/30,"3170",143.00,114.00,200.00,Riegenroth,am Netz,"714008126",398676,5547516
Riegenroth,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2012/12/30,"3170",143.00,114.00,200.00,Riegenroth,am Netz,"714008126",398896,5547271
Riegenroth,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2012/12/30,"3170",143.00,114.00,200.00,Riegenroth,am Netz,"714008126",399272,5547013
Beltheim,Kastellaun,Rhein-Hunsrück-Kreis,2013/06/07,"3170",143.00,114.00,200.00,Beltheim III (B1),am Netz,"714003010",391945,5551079
Beltheim,Kastellaun,Rhein-Hunsrück-Kreis,2013/06/07,"3170",143.00,114.00,200.00,Beltheim III (B2),am Netz,"714003010",392473,5551350
Beltheim,Kastellaun,Rhein-Hunsrück-Kreis,2013/06/07,"3170",143.00,114.00,200.00,Beltheim III (B4),am Netz,"714003010",393144,5551275
Beltheim,Kastellaun,Rhein-Hunsrück-Kreis,2013/06/07,"3170",143.00,114.00,200.00,Beltheim III (B5),am Netz,"714003010",392813,5550912
Beltheim,Kastellaun,Rhein-Hunsrück-Kreis,2013/06/07,"3170",143.00,114.00,200.00,Beltheim III (B6),am Netz,"714003010",391653,5550660
Reich,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2012/11/05,"3000",140.00,112.00,196.00,Reich II,am Netz,"714008123",388172,5541301
Bell (Hunsrück),Kastellaun,Rhein-Hunsrück-Kreis,2014/10/05,"3000",135.40,101.00,185.90,Bell Leideneck/Krastel,am Netz,"714003009",382750.0274,5544945.9043
Bell (Hunsrück),Kastellaun,Rhein-Hunsrück-Kreis,2014/10/05,"3000",135.40,101.00,185.90,Bell Leideneck/Krastel,am Netz,"714003009",383214.9873,5545014.2693
Bell (Hunsrück),Kastellaun,Rhein-Hunsrück-Kreis,2014/10/23,"3000",135.40,101.00,185.90,"Bell Leideneck/Krastel, Flur 11, Flurstück 11",am Netz,"714003009",383507.259,5544818.4447
Bell (Hunsrück),Kastellaun,Rhein-Hunsrück-Kreis,2014/10/05,"3000",135.40,101.00,185.90,Bell Leideneck/Krastel,am Netz,"714003009",383835.3517,5544518.1346
Gödenroth,Kastellaun,Rhein-Hunsrück-Kreis,2015/12/28,"3000",149.00,101.00,199.50,Gödenroth III,am Netz,"714003042",392582,5550567
Gödenroth,Kastellaun,Rhein-Hunsrück-Kreis,2015/12/28,"3000",149.00,101.00,199.50,Gödenroth III,am Netz,"714003042",392812,5550430
Steinbach,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2017/07/27,"3300",137.00,126.00,200.00,Liebshausen II,am Netz,"714008148",400355.999996506,5543788.99999929
Liebshausen,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2017/07/27,"3300",137.00,126.00,200.00,Liebshausen II,am Netz,"714008085",400945.999996646,5543924.9999993
Hausbay,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2016/05/31,"3050",149.00,115.00,207.00,"Hausbay-Bickenbach (Ha1)
",am Netz,"714009047",395831,5552221
Hausbay,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2016/07/27,"3300",164.00,131.00,229.50,"Hausbay-Bickenbach (Ha2)
",am Netz,"714009047",395939,5552568
Bickenbach,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2008/01/01,"2050",100.00,92.00,146.00,Bickenbach 4,am Netz,"714009014",395491.6159,5550718.29
Braunshorn,Kastellaun,Rhein-Hunsrück-Kreis,2011/01/29,"2050",100.00,92.50,146.25,Braunshorn,am Netz,"714003018",394777.8961,5550550.36
Braunshorn,Kastellaun,Rhein-Hunsrück-Kreis,2011/01/29,"2050",100.00,92.50,146.25,Braunshorn,am Netz,"714003018",395054.7866,5550457.3949
Laudert,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2013/10/02,"3000",135.40,101.00,185.90,Laudert,am Netz,"714009080",401031,5549084
Külz (Hunsrück),Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2013/06/10,"2300",138.38,82.00,179.38,KÃ¼lz III,am Netz,"714008076",393699,5541548
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2015/04/17,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (1),am Netz,"714009075",396023,5562026
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2015/04/17,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (2),am Netz,"714009075",396531,5562096
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2015/04/22,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (3),am Netz,"714009075",396745,5561754
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2014/06/18,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (4),am Netz,"714009075",397226,5561798
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2014/05/31,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (5),am Netz,"714009075",397908,5561754
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2014/06/05,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (6),am Netz,"714009075",397472,5561490
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2014/06/25,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (7),am Netz,"714009075",398137,5561494
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2015/05/11,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (8),am Netz,"714009075",397775,5561173
Kratzenburg,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2015/05/07,"3170",143.00,114.00,200.00,Staatsforst Kratzenburg (9),am Netz,"714009075",397982,5560886
Leiningen,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2016/10/27,"3170",143.00,114.00,200.00,Leiningen,am Netz,"714009084",399050.999998059,5554932.99999963
Roth,Kastellaun,Rhein-Hunsrück-Kreis,2014/10/27,"3000",140.00,112.00,196.00,Roth (RO 01),am Netz,"714003131",390314.999996567,5548496.99999955
Roth,Kastellaun,Rhein-Hunsrück-Kreis,2014/10/27,"3000",140.00,112.00,196.00,Roth (RO 02),am Netz,"714003131",390723,5548596
Norath,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2014/03/07,"3000",140.00,112.00,196.00,Norath (1),am Netz,"714009110",400155,5553723
Norath,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2014/02/04,"3000",140.00,112.00,196.00,Norath (2),am Netz,"714009110",399750,5553932
Norath,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2013/12/30,"3000",140.00,112.00,196.00,Norath (3),am Netz,"714009110",399852,5554328
Laubach,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2014/06/13,"2000",125.00,90.00,170.00,Laubach VII,am Netz,"714008079",394113,5546471
Kappel,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2014/06/17,"800",73.25,52.90,99.70,Kappel IV,am Netz,"714004062",383602,5541743
Laudert,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2013/12/16,"3000",135.40,101.00,185.90,Laudert II,am Netz,"714009080",401352,5548913
Metzenhausen,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2014/12/01,"2300",138.38,82.00,179.38,Metzenhausen III,am Netz,"714004094",383531.999994861,5536850.99999948
Piesport,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_01,am Netz,"723101105",354386.999927967,5523564.99999715
Piesport,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,Wi_02,am Netz,"723101105",354760.999929272,5523304.99999717
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_04,am Netz,"723101133",354863.999906064,5524107.99999624
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_05,am Netz,"723101133",355438.999908632,5524107.99999628
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_06,am Netz,"723101133",354966.999929932,5523737.99999718
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_07,am Netz,"723101133",355356.999931247,5523613.99999721
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_09,am Netz,"723101133",356430.999934714,5523850.99999725
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_10,am Netz,"723101133",356625.99993536,5523502.99999727
Brauneberg,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_15,am Netz,"723101012",356941.999915084,5523938.99999636
Brauneberg,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_16,am Netz,"723101012",357293.999958294,5523432.9999982
Brauneberg,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_17,am Netz,"723101012",357461.999937987,5522992.9999973
Berschweiler b.Baumholder,Baumholder,Birkenfeld,2012/03/09,"2000",125.00,90.00,170.00,"WEA 6-R; 28/10",am Netz,"713401008",374829.665139631,5491569.31392504
Weitefeld,Daaden-Herdorf,Altenkirchen (Ww),2013/12/20,"3200",143.00,110.00,199.50,,am Netz,"713203113",425698.4999995,5618407.4999996
Merschbach,Thalfang am Erbeskopf,Bernkastel-Wittlich,2014/12/22,"3300",137.00,126.00,200.00,MSB01 / V216319,am Netz,"723106083",357199.999937402,5520357.9999973
Merschbach,Thalfang am Erbeskopf,Bernkastel-Wittlich,2014/12/22,"3300",137.00,126.00,200.00,"MSB02 / V216320
",am Netz,"723106083",357259.999937618,5519978.9999973
Lauperath,Arzfeld,Eifelkreis Bitburg-Prüm,2010/01/01,"3000",135.00,101.00,186.00,,am Netz,"723201258",309067.999504454,5550363.99999592
Heinzenbach,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2017/01/04,"3000",135.50,115.70,193.25,,am Netz,"714004049",386879,5537802
Dommershausen,Kastellaun,Rhein-Hunsrück-Kreis,2015/12/28,"3000",149.00,115.71,206.50,,am Netz,"714003202",388597.48,5553517.47
Dommershausen,Kastellaun,Rhein-Hunsrück-Kreis,2015/12/28,"3000",149.00,115.71,206.50,,am Netz,"714003202",388900.6,5553544
Meckel,Bitburger Land,Eifelkreis Bitburg-Prüm,2014/06/25,"2200",124.75,101.00,175.25,,am Netz,"723208077",320891,5527891
Ormont,Gerolstein,Vulkaneifel,2016/12/23,"3000",140.00,112.00,196.00,WEA OA 02,am Netz,"723306232",319765.999770914,5578378.99999716
Kerschenbach,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA KA 02,am Netz,"723306219",320069.999886897,5577735.99999858
Kerschenbach,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA KA 03,am Netz,"723306219",320392.999888371,5577309.99999858
Kerschenbach,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA KA 04,am Netz,"723306219",320285,5576905
Kerschenbach,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA KA 05,am Netz,"723306219",320783.999890085,5577131.99999858
Kerschenbach,Gerolstein,Vulkaneifel,2016/01/05,"3000",140.00,112.00,196.00,WEA KA 07,am Netz,"723306219",321855.999894551,5577472.99999858
Ormont,Gerolstein,Vulkaneifel,2016/12/23,"3000",140.00,112.00,196.00,WEA OA 01,am Netz,"723306232",320145.999661165,5578906.99999574
Kerschenbach,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA KA 01,am Netz,"723306219",320364.999888124,5578154.99999858
Reuth,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA RG 02,am Netz,"723305235",320407.999888591,5576260.99999858
Kerschenbach,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA KA 06,am Netz,"723306219",320587.999889307,5576686.99999858
Reuth,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA RG 01,am Netz,"723305235",320050.999887008,5576433.99999858
Reuth,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA RG 03,am Netz,"723305235",320910.999890752,5576272.99999858
Kerschenbach,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA KG 01,am Netz,"723306219",320747.999889695,5578744.99999858
Kerschenbach,Gerolstein,Vulkaneifel,2014/08/19,"3000",140.00,112.00,196.00,WEA KG 02,am Netz,"723306219",321148.999891355,5579112.99999858
Piesport,Bernkastel-Kues,Bernkastel-Wittlich,2018/07/20,"3000",149.00,115.72,206.86,Wi_03,am Netz,"723101105",354178.999927304,5522948.99999715
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,SF02,am Netz,"723101133",356993.999936565,5522852.99999727
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,SF04,am Netz,"723101133",357537.99993826,5522492.9999973
Brauneberg,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,SF05,am Netz,"723101012",358075.99989974,5522827.99999555
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,SF07,am Netz,"723101133",357047.999936811,5521891.9999973
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,SF08,am Netz,"723101133",357431.999937975,5522034.9999973
Wintrich,Bernkastel-Kues,Bernkastel-Wittlich,2016/06/06,"3000",149.00,115.72,206.86,SF09,am Netz,"723101133",357895.999939352,5522254.99999733
Morbach,Morbach,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,SF13,am Netz,"723100502",357641.999938665,5521337.99999733
Morbach,Morbach,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,SF12,am Netz,"723100502",357187.999937285,5521337.9999973
Morbach,Morbach,Bernkastel-Wittlich,2015/11/25,"3000",149.00,115.72,206.86,SF15,am Netz,"723100502",357997.999939682,5521914.99999733
Morbach,Morbach,Bernkastel-Wittlich,2015/04/23,"3000",149.00,115.72,206.86,SF11,am Netz,"723100502",356742.999935941,5520950.99999727
Gimbweiler,Birkenfeld,Birkenfeld,2017/07/13,"2350",138.00,82.00,179.00,"WEA 5; 13/14",am Netz,"713402029",370513.22811703,5493626.78369768
Daxweiler,Langenlonsheim-Stromberg,Bad Kreuznach,2012/03/05,"3000",135.40,101.00,185.90,WKA K5,am Netz,"713311023",409317,5538572
Veldenz,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/04,"3000",135.40,101.00,185.90,Ve2,am Netz,"723101126",360672.999964704,5523761.99999831
Dichtelbach,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2016/09/16,"3000",135.40,101.00,185.90,,am Netz,"714008027",408510.819215014,5539346.78761728
Veldenz,Bernkastel-Kues,Bernkastel-Wittlich,2015/12/11,"3000",149.00,101.00,199.50,Ve7,am Netz,"723101126",361198.999965612,5524067.99999832
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2015/03/26,"2300",138.00,82.00,179.38,,am Netz,"723201260",308080.999655508,5554797.99999732
Hallschlag,Gerolstein,Vulkaneifel,2015/07/28,"2300",138.80,82.00,179.38,,am Netz,"723306214",317008.999872476,5579311.99999858
Kehrig,Vordereifel,Mayen-Koblenz,2016/06/24,"2750",139.00,120.00,199.00,,am Netz,"713703043",372286.999989762,5572077.99999931
Monreal,Vordereifel,Mayen-Koblenz,2016/06/24,"2750",120.00,139.00,199.00,,am Netz,"713703074",372005,5573045
Unzenberg,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2016/11/08,"2300",138.38,82.00,179.38,"Unzenberg IV
",am Netz,"714004154",387517.99999193,5537706.99999904
Kirchberg (Hunsrück),Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2017/09/20,"3000",135.40,115.00,192.90,Nieder Kostenz Höhenwindpark,am Netz,"714004067",383648.99999491,5534968.99999948
Nieder-Kostenz,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2017/10/27,"3000",149.00,115.00,206.50,Nieder Kostenz Höhenwindpark,am Netz,"714004105",383459.999994854,5534624.99999948
Nieder-Kostenz,Kirchberg (Hunsrück),Rhein-Hunsrück-Kreis,2017/11/23,"3000",135.40,115.00,192.90,Nieder Kostenz Höhenwindpark,am Netz,"714004105",383772.999994952,5534335.99999948
Heidenburg,Thalfang am Erbeskopf,Bernkastel-Wittlich,2017/07/27,"3300",140.00,112.00,196.00,BRT01 / V 218484,am Netz,"723106204",351052.999916393,5516552.999997
Büdlich,Thalfang am Erbeskopf,Bernkastel-Wittlich,2017/08/30,"3300",140.00,112.00,196.00,BRT02 / V 218485,am Netz,"723106203",351148.999916807,5516194.999997
Breit,Thalfang am Erbeskopf,Bernkastel-Wittlich,2017/08/30,"3300",140.00,112.00,196.00,BRT04 / V 218486,am Netz,"723106202",350555.999886168,5514739.99999596
Schönberg,Thalfang am Erbeskopf,Bernkastel-Wittlich,2017/08/30,"3300",140.00,112.00,196.00,BRT07 / V 218487,am Netz,"723106115",351251.999917368,5514707.999997
Kirf,Saarburg-Kell,Trier-Saarburg,2007/06/19,"1500",85.00,38.50,123.50,,am Netz,"723508062",317287.999887336,5492909.99999857
Kirf,Saarburg-Kell,Trier-Saarburg,2005/09/07,"1500",85.00,38.50,123.50,,am Netz,"723508062",317018.999886245,5492406.99999857
Kirf,Saarburg-Kell,Trier-Saarburg,2006/02/23,"1500",85.00,77.00,123.50,,am Netz,"723508062",317439.893795526,5493335.0692984
Kirf,Saarburg-Kell,Trier-Saarburg,2006/02/23,"800",73.25,52.90,99.70,,am Netz,"723508062",317582.99977715,5493087.99999714
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2016/02/17,"1000",138.38,82.00,180.00,"Die Anlage wurde am 7.12.2017 stillgelegt, Nennleistung 1, da 0 nicht akzeptiert wird.",am Netz,"723206231",302810.998321008,5561018.99999048
Lieg,Cochem,Cochem-Zell,2016/04/06,"3300",149.00,126.00,212.00,WEA 1,am Netz,"713501053",380693.999981292,5556449.99999829
Lieg,Cochem,Cochem-Zell,2016/04/06,"3300",149.00,126.00,212.00,WEA 2,am Netz,"713501053",380205.999980758,5556164.99999829
Neuerkirch,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2017/09/28,"3000",149.00,115.00,206.50,Niederkumbd (1),am Netz,"714008101",393817.999997285,5542002.99999959
Niederkumbd,Simmern-Rheinböllen,Rhein-Hunsrück-Kreis,2017/11/10,"3000",149.00,115.00,206.50,Niederkumbd (2),am Netz,"714008106",394075.999997332,5541803.99999959
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2001/10/10,"1500",85.00,70.00,120.00,,am Netz,"723205218",322288,5523851
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2008/10/10,"2300",100.00,101.00,151.00,,am Netz,"723206231",303280,5561788
Elbingen,Wallmerod,Westerwaldkreis,2017/11/15,"3000",149.08,115.71,206.94,WEA 2,am Netz,"714308501",421457,5599310
Elbingen,Wallmerod,Westerwaldkreis,2017/11/15,"3000",149.08,115.71,206.94,WEA 3,am Netz,"714308501",421759,5598837
Hahn am See,Wallmerod,Westerwaldkreis,2017/11/15,"3000",149.08,115.71,206.94,WEA 1,am Netz,"714308232",421302,5598874
Hausbay,Hunsrück-Mittelrhein,Rhein-Hunsrück-Kreis,2018/02/15,"3300",164.00,131.00,229.50,Hausbay III,am Netz,"714009047",395799.999997589,5551863.9999996
Morbach,Morbach,Bernkastel-Wittlich,2017/06/29,"4200",159.00,141.00,229.50,WEA R01,am Netz,"723100502",363734.999939752,5521243.99999684
Morbach,Morbach,Bernkastel-Wittlich,2017/06/29,"4200",159.00,141.00,229.50,WEA R02,am Netz,"723100502",363793.999924878,5521666.99999605
Morbach,Morbach,Bernkastel-Wittlich,2016/05/03,"4200",159.00,141.00,229.50,WEA R03,am Netz,"723100502",364032.999940592,5522200.99999684
Morbach,Morbach,Bernkastel-Wittlich,2016/05/03,"4200",159.00,141.00,229.50,WEA R04,am Netz,"723100502",364423.99992732,5521149.9999961
Morbach,Morbach,Bernkastel-Wittlich,2016/05/03,"4200",159.00,141.00,229.50,WEA R05,am Netz,"723100502",364481.999970992,5521759.99999844
Morbach,Morbach,Bernkastel-Wittlich,2016/05/03,"4200",159.00,141.00,229.50,WEA R06,am Netz,"723100502",364785.999957136,5522236.99999766
Morbach,Morbach,Bernkastel-Wittlich,2016/05/03,"4200",159.00,141.00,229.50,WEA R07,am Netz,"723100502",364667.999956848,5522739.99999766
Hoppstädten-Weiersbach,Birkenfeld,Birkenfeld,2017/12/19,"2350",138.00,92.00,184.00,"WEA 7; Az. 04/16",am Netz,"713402042",371355.079346979,5495929.14403044
Hoppstädten-Weiersbach,Birkenfeld,Birkenfeld,2019/02/07,"2350",138.00,92.00,184.00,"WEA 8; Az. 04/16",am Netz,"713402042",370872.272274997,5495689.28170779
Konz,Konz,Trier-Saarburg,2016/03/15,"2300",138.38,82.00,179.38,,am Netz,"723503068",331024.477701383,5502302.09068435
Konz,Konz,Trier-Saarburg,2016/03/15,"2300",138.38,82.00,179.38,,am Netz,"723503068",330989.548096119,5502059.2294952
Lünebach,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/01,"3450",149.00,136.00,217.00,,am Netz,"723201262",309280.38465538,5556684.08102535
Lünebach,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/01,"3450",149.00,136.00,217.00,,am Netz,"723201262",308863.999496735,5556433.99999595
Lünebach,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/01,"3450",149.00,136.00,217.00,,am Netz,"723201262",308411.999488746,5555855.99999598
Lünebach,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/01,"3450",149.00,136.00,217.00,,am Netz,"723201262",309018.999666606,5555937.9999973
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/01,"3450",149.00,136.00,217.00,,am Netz,"723201260",308789.99832061,5555213.9999865
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/10,"2350",138.40,92.00,184.40,,am Netz,"723201260",307572.999824541,5554797.99999867
Großkampenberg,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/01,"3450",149.00,136.00,217.00,,am Netz,"723201229",299793.999766601,5561085.99999893
Großkampenberg,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/01,"3450",149.00,136.00,217.00,,am Netz,"723201229",299795.084114573,5561586.02484213
Großkampenberg,Arzfeld,Eifelkreis Bitburg-Prüm,2016/06/01,"3450",149.00,139.00,217.00,,am Netz,"723201229",300252.999770216,5561416.99999891
Konz,Konz,Trier-Saarburg,2016/09/22,"2300",138.00,82.00,179.00,lt. Marktstammdatenregister in Betrieb Meldedatum  21.05.2019,am Netz,"723503068",331327.076413762,5502022.96371798
