gemeinde,vg,kreis,datum,nennleist,nabenhoehe,rotor,gesamthoeh,bemerkung,planstd,gem_neu,xcoord,ycoord
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2008/04/17,"2000",105.00,90.00,150.00,,am Netz,"723208061",324013.883021243,5527912.40766492
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2008/04/17,"2000",105.00,90.00,150.00,,am Netz,"723208061",323911.231166724,5527673.33395994
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2011/06/16,"2000",105.00,90.00,150.00,,am Netz,"723208061",324049.892273462,5527337.52382172
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2008/08/05,"2000",105.00,90.00,150.00,,am Netz,"723208061",324251.112881403,5527164.33437324
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2008/08/05,"2000",105.00,90.00,150.00,,am Netz,"723208061",324062.4,5526610.5
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2008/08/05,"2000",105.00,90.00,150.00,,am Netz,"723208061",324486.827162892,5527027.79236936
Meckel,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/30,"1000",69.00,54.00,96.00,,am Netz,"723208077",321573.890549722,5527839.57352617
Meckel,Bitburger Land,Eifelkreis Bitburg-Prüm,2006/04/03,"1500",65.00,70.00,100.00,,am Netz,"723208077",321981.026687448,5528080.00634306
Meckel,Bitburger Land,Eifelkreis Bitburg-Prüm,2006/04/03,"1500",65.00,70.00,100.00,,am Netz,"723208077",320589.875032117,5527579.24480744
Meckel,Bitburger Land,Eifelkreis Bitburg-Prüm,2006/04/03,"1500",65.00,70.00,100.00,,am Netz,"723208077",321113.798247457,5527611.0004615
Meckel,Bitburger Land,Eifelkreis Bitburg-Prüm,2005/11/17,"1500",80.00,82.00,121.00,,am Netz,"723208077",321217.665537642,5527886.3496861
Meckel,Bitburger Land,Eifelkreis Bitburg-Prüm,2009/09/25,"2000",105.00,90.00,150.00,,am Netz,"723208077",321181.753443723,5528138.98564792
Olsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2006/04/01,"2000",80.00,88.00,124.00,,am Netz,"723208100",311624.004756394,5536041.00559135
Schleid,Bitburger Land,Eifelkreis Bitburg-Prüm,2006/10/31,"1500",100.00,77.00,138.00,,am Netz,"723208118",320050.507231923,5549476.67903894
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,1999/07/30,"1500",85.00,70.00,120.00,,am Netz,"723208120",323478.143293899,5549426.53756092
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,1999/07/30,"1500",85.00,70.00,120.00,,am Netz,"723208120",323788.752114212,5549136.840025
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,1999/07/30,"1500",85.00,70.00,120.00,,am Netz,"723208120",323305.103568462,5549080.21624013
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,1999/07/30,"1500",85.00,70.00,120.00,,am Netz,"723208120",323794.759389379,5548763.30881771
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,1999/07/30,"1500",85.00,70.00,120.00,,am Netz,"723208120",323336.607504388,5548693.65022363
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,1999/07/30,"1500",85.00,70.00,120.00,,am Netz,"723208120",323423.837859293,5548373.89897647
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,1999/07/30,"1500",85.00,70.00,120.00,,am Netz,"723208120",323724.162042223,5548450.90080905
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,2001/06/18,"2500",80.00,80.00,120.00,,am Netz,"723208120",322836.444226258,5547229.58890375
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,2001/06/18,"2500",80.00,80.00,120.00,,am Netz,"723208120",322564.143863672,5546729.1285461
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,2001/06/18,"2500",80.00,80.00,120.00,,am Netz,"723208120",322212.525163202,5546795.29473641
Sefferweich,Bitburger Land,Eifelkreis Bitburg-Prüm,2002/09/20,"1500",85.00,70.00,120.00,,am Netz,"723208120",323604.862590572,5549342.38368547
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2001/11/15,"1500",85.00,70.00,120.00,,am Netz,"723205218",322335.598304356,5524215.73383724
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2000/12/18,"1500",85.00,70.00,120.00,,am Netz,"723205218",322302.3,5524829.2
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2000/12/18,"1500",85.00,70.00,120.00,,am Netz,"723205218",321700.843981071,5524309.21043393
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2000/12/18,"1500",85.00,70.00,120.00,,am Netz,"723205218",321103.486822839,5524212.04148738
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2006/11/28,"2000",113.50,71.00,149.00,,am Netz,"723205218",322554,5524022
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2006/11/28,"2000",113.50,71.00,149.00,,am Netz,"723205218",322139.650603878,5524534.7305269
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2008/11/24,"2000",105.00,90.00,150.00,,am Netz,"723205218",322490.728276223,5524540.77761067
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2009/11/05,"2000",138.00,82.00,179.00,,am Netz,"723205218",322483.3679536,5523657.38656909
Gilzem,Südeifel,Eifelkreis Bitburg-Prüm,2005/10/27,"1500",100.00,77.00,138.50,,am Netz,"723205225",322837.171501879,5526668.56017413
Gilzem,Südeifel,Eifelkreis Bitburg-Prüm,2005/10/21,"1500",100.00,77.00,138.50,,am Netz,"723205225",322447.984771372,5526246.81330108
Kyllburgweiler,Bitburger Land,Eifelkreis Bitburg-Prüm,2003/04/30,"2000",100.00,80.00,140.00,,am Netz,"723208071",329492.07931676,5548464.32277567
Kyllburgweiler,Bitburger Land,Eifelkreis Bitburg-Prüm,2003/04/30,"2000",100.00,80.00,140.00,,am Netz,"723208071",329417.122009879,5548118.07381236
Kyllburgweiler,Bitburger Land,Eifelkreis Bitburg-Prüm,2003/04/30,"2000",100.00,80.00,140.00,,am Netz,"723208071",329508.262033909,5547771.15557887
Kyllburgweiler,Bitburger Land,Eifelkreis Bitburg-Prüm,2003/04/30,"2000",100.00,80.00,140.00,,am Netz,"723208071",329839.817179393,5547778.84990215
Burg,Südeifel,Eifelkreis Bitburg-Prüm,2001/04/06,"1500",85.00,70.00,120.00,,am Netz,"723205022",309951.85501828,5536656.80812996
Hommerdingen,Südeifel,Eifelkreis Bitburg-Prüm,2010/08/02,"2300",138.00,82.00,179.00,,am Netz,"723205054",306797.046142887,5533115.04469903
Hommerdingen,Südeifel,Eifelkreis Bitburg-Prüm,2010/08/02,"2300",138.00,82.00,179.00,,am Netz,"723205054",307024.826111264,5533021.12968949
Hommerdingen,Südeifel,Eifelkreis Bitburg-Prüm,2010/08/02,"2300",138.00,82.00,179.00,,am Netz,"723205054",306406.981614303,5532683.0329575
Hütten,Südeifel,Eifelkreis Bitburg-Prüm,2002/01/01,"600",77.65,44.00,99.65,,am Netz,"723205056",302891.966175727,5544292.5242938
Hüttingen bei Lahr,Südeifel,Eifelkreis Bitburg-Prüm,2011/11/25,"2300",108.00,82.00,149.00,,am Netz,"723205059",306888.658116712,5533951.77990732
Hüttingen bei Lahr,Südeifel,Eifelkreis Bitburg-Prüm,2011/12/05,"2300",108.00,82.00,149.00,,am Netz,"723205059",306804.756263362,5533555.06665149
Neuerburg,Südeifel,Eifelkreis Bitburg-Prüm,1995/05/31,"500",65.00,40.00,85.00,,am Netz,"723205088",305057.053239391,5542327.94666911
Neuerburg,Südeifel,Eifelkreis Bitburg-Prüm,1995/05/31,"500",65.00,40.00,85.00,,am Netz,"723205088",304567.943738491,5542684.87693234
Neuerburg,Südeifel,Eifelkreis Bitburg-Prüm,1995/05/31,"500",65.00,40.00,85.00,,am Netz,"723205088",305085.237580912,5542631.08089567
Neuerburg,Südeifel,Eifelkreis Bitburg-Prüm,1995/05/31,"500",65.00,40.00,85.00,,am Netz,"723205088",304807.55165702,5542570.1657467
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2011/11/04,"2300",108.00,82.00,149.00,,am Netz,"723205095",308472.713200965,5534074.38586663
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2011/11/10,"2300",108.00,82.00,149.00,,am Netz,"723205095",307237.331532379,5534020.36269751
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2011/12/05,"2300",138.00,82.00,179.00,,am Netz,"723205095",307178.192244981,5533694.38589571
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2011/11/03,"2300",108.00,82.00,149.00,,am Netz,"723205095",308734.822368105,5534514.47774924
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2010/08/02,"2300",108.00,82.00,149.00,,am Netz,"723205095",308780.984698207,5534039.07884964
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2010/08/02,"2300",108.00,82.00,149.00,,am Netz,"723205095",308962.98350822,5534412.16462772
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2011/12/05,"2300",108.00,82.00,149.00,,am Netz,"723205095",307570.094532958,5534115.09720505
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2011/12/05,"2300",138.00,82.00,179.00,,am Netz,"723205095",307396.085243718,5533574.75201667
Nusbaum,Südeifel,Eifelkreis Bitburg-Prüm,2011/12/05,"2300",138.00,82.00,179.00,,am Netz,"723205095",307761.057134233,5533636.18096149
Uppershausen,Südeifel,Eifelkreis Bitburg-Prüm,2004/03/20,"1500",85.00,66.00,118.00,,am Netz,"723205128",308321.021846088,5547689.62201451
