"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2"
"39",39,"E30254010000000000005230789408817","2300","12.1.2009",7336036,49.60921,7.66289,65,70,733608036,67753,"Hefersweiler",2300,"2009-01-13",2344728,298,2345,88804,0.088804,26.4034052520157
"40",40,"E30254010000000000005230789408818","2300","13.1.2009",7336085,49.60801,7.65637,65,70,733608085,67753,"Reipoltskirchen",2300,"2009-01-14",2344719,454,2345,206116,0.206116,11.3757253197229
"41",41,"E30254010000000000005230789408838","2300","12.1.2009",7336036,49.61113,7.66179,65,70,733608086,67753,"Relsberg",2300,"2009-01-12",2344728,298,2345,88804,0.088804,26.4034052520157
"42",42,"E30254010000000000005230789801746","1500","30.9.2005",7337039,49.168084,8.251131,100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-01",2411405,344,2411,118336,0.118336,20.3776112087615
"43",43,"E30254010000000000005230789801747","1500","10.10.2005",7337039,49.165615,8.25461,100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-10",2411405,366,2411,133956,0.133956,18.0014706321479
"44",44,"E30254010000000000005230789801748","1500","12.10.2005",7334025,49.163768,8.260973,100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405,323,2411,104329,0.104329,23.1134679715132
"45",45,"E30254010000000000005230789801749","1500","22.10.2005",7337039,49.165163,8.25836,100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405,323,2411,104329,0.104329,23.1134679715132
"46",46,"E30254010000000000005230789801750","1500","17.2.2006",7334025,49.164089,8.264848,100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405,375,2411,140625,0.140625,17.1477688888889
"47",47,"E30254010000000000005230789807055","1500","27.9.2005",7337039,49.167872,8.247555,100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-01",2411405,344,2411,118336,0.118336,20.3776112087615
"48",48,"E30254010000000000005230790301752","1500","22.12.2005",7316000,49.386136,8.270259,100,77,733200025,67454,"Haßloch",1500,"2005-12-23",2143091,632,2143,399424,0.399424,5.3654537534049
"49",49,"E30254010000000000005230790306701","1500","22.12.2005",7316000,49.381927,8.268697,100,77,733200025,67454,"Haßloch",1500,"2005-12-16",2143096,632,2143,399424,0.399424,5.36546627143086
"50",50,"E30254010000000000005230790601754","2300","2.2.2006",7340022,49.30543,7.61455,114,70,734006022,66989,"Höheinöd",2300,"2006-02-02",2968590,341,2969,116281,0.116281,25.5294502111265
"51",51,"E30254010000000000005230790601755","2000","17.8.2006",7340022,49.303426,7.616378,1135,71,734006022,66989,"Höheinöd",2000,"2006-08-17",2852936,341,2853,116281,0.116281,24.5348423216175
