"","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","leistung_s","indatum_s","eiccode","bnetznr","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"962","E31238010000000000000044872518893","Nordex Energy GmbH","S70",1500,"16.10.2002",7235045,"49,684727","6,91433",85,70,723501114,54421,"Reinsfeld",1500,"2002-10-16","11YR00000003039P",10003764,1434761,7235,"Trier-Saarburg",956.507333333333,1435,723501,"Hermeskeil"
"963","E31238010000000000000044872518894","Nordex Energy GmbH","S70",1500,"22.10.2002",7235045,"49,685502","6,910769",85,70,723501114,54421,"Reinsfeld",1500,"2002-11-01","11YR00000003039P",10003764,1434761,7235,"Trier-Saarburg",956.507333333333,1435,723501,"Hermeskeil"
"964","E31238010000000000000045112601194","ENERCON GmbH","E - 44",600,"17.10.2002",7235141,"49,748192","6,776861",78,44,723504141,54320,"Waldrach",600,"2002-10-01","11YR00000003039P",10003764,984024,7235,"Trier-Saarburg",1640.04,984,723504,"Ruwer"
"965","E31238010000000000000045112614240","ENERCON GmbH","E - 44",600,"18.10.2002",7235141,"49,744992","6,779782",78,44,723504141,54320,"Waldrach",600,"2002-10-01","11YR00000003039P",10003764,984024,7235,"Trier-Saarburg",1640.04,984,723504,"Ruwer"
"966","E31238010000000000000045112618243","ENERCON GmbH","E - 44",600,"14.10.2002",7235141,"49,74329","6,783441",78,44,723504141,54320,"Waldrach",600,"2002-10-01","11YR00000003039P",10003764,984024,7235,"Trier-Saarburg",1640.04,984,723504,"Ruwer"
"967","E31238010000000000000045704800037","Vestas Deutschland GmbH","V-80",2000,"07.11.2002",7231502,"49,827275","7,104657",100,80,723100502,54497,"Morbach",2000,"2002-11-07","11YR00000003039P",10003764,1620882,7231,"Bernkastel-Wittlich",810.441,1621,723100,"vfr Bernkastel-Wittlich"
"970","E31238010000000000000045704818818","Vestas Deutschland GmbH","V80",2000,"06.02.2003",7231087,"49,142675","-3,622044",100,80,723100502,54497,"Morbach",2000,"2002-11-08","11YR00000003039P",10003764,457126,7231,"Bernkastel-Wittlich",228.563,457,723100,"vfr Bernkastel-Wittlich"
"971","E31238010000000000000045704818820","Vestas Deutschland GmbH","V80",2000,"12.02.2003",7231502,"49,834014","7,112609",100,80,723100502,54497,"Morbach",2000,"2003-02-12","11YR00000003039P",10003764,1014974,7231,"Bernkastel-Wittlich",507.487,1015,723100,"vfr Bernkastel-Wittlich"
"972","E31238010000000000000045704818821","Vestas Deutschland GmbH","V80",2000,"11.11.2002",7231502,"49,832603","7,115273",100,80,723100502,54497,"Morbach",2000,"2002-11-10","11YR00000003039P",10003764,1080891,7231,"Bernkastel-Wittlich",540.4455,1081,723100,"vfr Bernkastel-Wittlich"
"973","E31238010000000000000045704818823","Vestas Deutschland GmbH","V-80",2000,"14.03.2003",7231502,"49,835399","7,11998",100,80,723100502,54497,"Morbach",2000,"2003-03-14","11YR00000003039P",10003764,1642095,7231,"Bernkastel-Wittlich",821.0475,1642,723100,"vfr Bernkastel-Wittlich"
"983","E31238010000000000000046572617024","ENERCON GmbH","E-58/10.58",1000,"20.12.2002",7143253,"50,7047","7,9463",89,52.9,713203036,57520,"Friedewald",1000,"2002-12-17","11YR00000003039P",10003764,2434047,7132,"Altenkirchen",2434.047,2434,713203,"Daaden-Herdorf"
"984","E31238010000000000000046594100038","ENERCON GmbH","E40  6.44",600,"20.12.2002",7232056,"50,018301","6,248464",78,44,723205056,54673,"HÃ¼tten",600,"2002-12-20","11YR00000003039P",10003764,1019758,7232,"Eifelkreis Bitburg-Prüm",1699.59666666667,1020,723205,"Südeifel"
"985","E31238010000000000000046621201359","ENERCON GmbH","ENERCON-58/10.58",1000,"19.12.2002",7235137,"49,777852","6,566256",70.5,58.6,723507137,54311,"Trierweiler",1000,"2002-12-19","11YR00000003039P",10003764,1662899,7235,"Trier-Saarburg",1662.899,1663,723507,"Trier-Land"
"987","E31238010000000000000047990201327","ENERCON GmbH","E-66/18.70-2",1800,"19.03.2003",7232201,"50,101575","6,296611",86,70,723201260,54619,"Lichtenborn",1800,"2003-03-19","11YR00000003039P",10003764,2607508,7232,"Eifelkreis Bitburg-Prüm",1448.61555555556,2608,723201,"Arzfeld"
"988","E31238010000000000000047990301233","Fuhrländer AG","FL MD 77",1500,"28.12.2003",7232201,"50,112961","6,304454",100,77,723201260,54619,"Lichtenborn",1500,"2003-12-28","11YR00000003039P",10003764,2589450,7232,"Eifelkreis Bitburg-Prüm",1726.3,2589,723201,"Arzfeld"
"989","E31238010000000000000047990318671","Fuhrländer AG","FL MD 77",1500,"31.12.2003",7232201,"50,111736","6,307201",100,77,723201201,54687,"Arzfeld",1500,"2003-12-31","11YR00000003039P",10003764,2589450,7232,"Eifelkreis Bitburg-Prüm",1726.3,2589,723201,"Arzfeld"
"992","E31238010000000000000050236400025","Vestas Deutschland GmbH","V80",2000,"15.07.2003",7233048,"50,26496","6,89335",100,80,723304003,54552,"Beinhausen",2000,"2003-07-15","11YR00000003039P",10003764,2889320,7233,"Vulkaneifel",1444.66,2889,723304,"Kelberg"
"993","E31238010000000000000050236418040","Vestas Deutschland GmbH","V80",2000,"07.08.2003",7233003,"50,264332","6,901234",100,80,723304048,54552,"Neichen",2000,"2003-08-07","11YR00000003039P",10003764,2889320,7233,"Vulkaneifel",1444.66,2889,723304,"Kelberg"
"994","E31238010000000000000050272000030","ENERCON GmbH","E66",1800,"16.10.2003",7232292,"50,174399","6,3269",98,70,723206292,54595,"Pittenbach",1800,"2003-10-16","11YR00000003039P",10003764,2116266,7232,"Eifelkreis Bitburg-Prüm",1175.70333333333,2116,723206,"Prüm"
"995","E31238010000000000000050272011489","ENERCON GmbH","E58",1000,"30.07.2003",7232292,"50,171813","6,325573",89,58,723206292,54595,"Pittenbach",1000,"2003-07-30","11YR00000003039P",10003764,1175705,7232,"Eifelkreis Bitburg-Prüm",1175.705,1176,723206,"Prüm"
"996","E31238010000000000000051980701032","ENERCON GmbH","E40/6.44",600,"23.10.2003",7232284,"50,160591","6,413087",78,44,723206284,54614,"Oberlauch",600,"2003-10-23","11YR00000003039P",10003764,954244,7232,"Eifelkreis Bitburg-Prüm",1590.40666666667,954,723206,"Prüm"
"997","E31238010000000000000052080300684","ENERCON GmbH","E-66/18.70-3",1800,"21.03.2003",7232201,"50,100102","6,298855",86,70,723201201,54687,"Arzfeld",1800,"2003-03-21","11YR00000003039P",10003764,2489980,7232,"Eifelkreis Bitburg-Prüm",1383.32222222222,2490,723201,"Arzfeld"
"998","E31238010000000000000052080300685","ENERCON GmbH","E-66/18.70-3",1800,"11.06.2003",7232264,"50,095499","6,305912",98,70,723201201,54687,"Arzfeld",1800,"2003-06-11","11YR00000003039P",10003764,2593715,7232,"Eifelkreis Bitburg-Prüm",1440.95277777778,2594,723201,"Arzfeld"
"999","E31238010000000000000052080300686","ENERCON GmbH","E-66/18.70-3",1800,"07.11.2003",7232264,"50,089499","6,307146",98,70,723201201,54687,"Arzfeld",1800,"2003-11-07","11YR00000003039P",10003764,2593715,7232,"Eifelkreis Bitburg-Prüm",1440.95277777778,2594,723201,"Arzfeld"
"1000","E31238010000000000000052080301988","ENERCON GmbH","E-53 800 kW",800,"21.03.2011",7232258,"50,085399","6,303864",73,53,723201201,54687,"Arzfeld",800,"2011-03-21","11YR00000003039P",10003764,1342729,7232,"Eifelkreis Bitburg-Prüm",1678.41125,1343,723201,"Arzfeld"
"1001","E31238010000000000000052080301990","ENERCON GmbH","E-82E2/2.3MW",2300,"20.09.2011",7232201,"50,086801","6,293686",138,82,723201201,54687,"Arzfeld",2300,"2011-09-20","11YR00000003039P",10003764,4104394,7232,"Eifelkreis Bitburg-Prüm",1784.51913043478,4104,723201,"Arzfeld"
"1002","E31238010000000000000052080320622","ENERCON GmbH","E-66/18.70-3",1800,"26.07.2004",7232201,"50,088297","6,299383",98,70,723201201,54687,"Arzfeld",1800,"2004-07-26","11YR00000003039P",10003764,2593715,7232,"Eifelkreis Bitburg-Prüm",1440.95277777778,2594,723201,"Arzfeld"
"1003","E31238010000000000000052080320626","ENERCON GmbH","E-66/18.70-3",1800,"14.11.2003",7232201,"50,085704","6,300624",98,70,723201201,54687,"Arzfeld",1800,"2003-11-14","11YR00000003039P",10003764,2593715,7232,"Eifelkreis Bitburg-Prüm",1440.95277777778,2594,723201,"Arzfeld"
"1004","E31238010000000000000052080320627","ENERCON GmbH","E-66/18.70-3",1800,"17.11.2003",7232201,"50,085501","6,295704",98,70,723201201,54687,"Arzfeld",1800,"2003-11-17","11YR00000003039P",10003764,2593715,7232,"Eifelkreis Bitburg-Prüm",1440.95277777778,2594,723201,"Arzfeld"
"1005","E31238010000000000000052080320628","ENERCON GmbH","E-66/18.70-3",1800,"19.11.2003",7232201,"50,083197","6,296794",98,70,723201201,54687,"Arzfeld",1800,"2003-11-19","11YR00000003039P",10003764,2593715,7232,"Eifelkreis Bitburg-Prüm",1440.95277777778,2594,723201,"Arzfeld"
"1006","E31238010000000000000052080320629","ENERCON GmbH","E-66/18.70",1800,"29.07.2004",7232201,"50,083609","6,290965",114,70,723201201,54687,"Arzfeld",1800,"2004-07-29","11YR00000003039P",10003764,2723350,7232,"Eifelkreis Bitburg-Prüm",1512.97222222222,2723,723201,"Arzfeld"
"1007","E31238010000000000000052582251969","Nordex SE","N117/2400 PH141",2400,"05.09.2017",7231006,"49,776099","6,968023",140.6,116.8,723106006,54426,"Berglicht",2400,"2017-09-05",NA,10003764,6287325,7231,"Bernkastel-Wittlich",2619.71875,6287,723106,"Thalfang am Erbeskopf"
"1013","E31238010000000000000053249301550","ENERCON GmbH","E-58",1000,"12.11.2003",7233232,"50,340169","6,441389",70,58,723306232,54597,"Ormont",1000,"2003-11-12","11YR00000003039P",10003764,1028982,7233,"Vulkaneifel",1028.982,1029,723306,"Geroldstein"
"1014","E31238010000000000000053249318044","ENERCON GmbH","E-58",1000,"12.11.2003",7233232,"50,343302","6,439071",70,58,723306232,54597,"Ormont",1000,"2003-11-12","11YR00000003039P",10003764,1028982,7233,"Vulkaneifel",1028.982,1029,723306,"Geroldstein"
"1018","E31238010000000000000054522000390","ENERCON GmbH","E-66/18.70",1800,"13.03.2004",7232128,"50,050387","6,322693",85,70,723205128,54673,"Uppershausen",1800,"2004-03-13","11YR00000003039P",10003764,3057470,7232,"Eifelkreis Bitburg-Prüm",1698.59444444444,3057,723205,"Südeifel"
"1023","E31238010000000000000055084501543","ENERCON GmbH","E66-18.70",1800,"23.12.2003",7232305,"50,218767","6,519803",86,70,723206226,54595,"Weinsheim",1800,"2003-12-23","11YR00000003039P",10003764,2718529,7232,"Eifelkreis Bitburg-Prüm",1510.29388888889,2719,723206,"Prüm"
"1024","E31238010000000000000055084518903","ENERCON GmbH","E66-18.70",1800,"30.03.2003",7232223,"50,218234","6,516267",86,70,723206226,54595,"Weinsheim",1800,"2004-03-30","11YR00000003039P",10003764,2722145,7232,"Eifelkreis Bitburg-Prüm",1512.30277777778,2722,723206,"Prüm"
"1025","E31238010000000000000055084518905","ENERCON GmbH","E82",2300,"27.07.2012",7232223,"50,217692","6,508723",84,82,723206226,54595,"Weinsheim",2300,"2012-07-27","11YR00000003039P",10003764,3910350,7232,"Eifelkreis Bitburg-Prüm",1700.15217391304,3910,723206,"Prüm"
"1026","E31238010000000000000055549227987","Nordex SE","S-77",1500,"11.05.2005",7232302,"50,318722","6,412223",85,77,723206302,54597,"Roth",1500,"2005-05-11","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1027","E31238010000000000000055549250890","Nordex SE","S-77",1500,"11.05.2005",7232302,"50,320529","6,417279",85,77,723206302,54597,"Roth",1500,"2005-05-11","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1028","E31238010000000000000055549250891","Nordex SE","S-77",1500,"26.05.2005",7232302,"50,321589","6,397124",85,77,723206302,54597,"Roth",1500,"2005-05-26","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1029","E31238010000000000000055549250892","Nordex SE","S-77",1500,"01.06.2005",7232302,"50,320783","6,393495",85,77,723206302,54597,"Roth",1500,"2005-06-01","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1030","E31238010000000000000055549250893","Nordex SE","S-70",1500,"02.06.2005",7233232,"50,33411","6,463257",65,79,723206302,54597,"Roth",1500,"2005-06-02","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1031","E31238010000000000000055549250894","Nordex SE","S-77",1500,"02.06.2005",7232302,"50,320319","6,389756",85,77,723206302,54597,"Roth",1500,"2005-06-02","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1032","E31238010000000000000055549250895","Nordex SE","S-77",1500,"09.06.2005",7232302,"50,321655","6,382592",85,77,723206302,54597,"Roth",1500,"2005-06-09","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1033","E31238010000000000000055549250896","Nordex SE","S-70",1500,"11.06.2005",7233232,"50,336675","6,466976",65,70,723206302,54597,"Roth",1500,"2005-06-11","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1034","E31238010000000000000055549250897","Nordex SE","S-70",1500,"16.06.2005",7233232,"50,338326","6,465573",65,70,723206302,54597,"Roth",1500,"2005-06-16","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1035","E31238010000000000000055549250898","Nordex SE","S-70",1500,"23.06.2005",7233232,"50,339966","6,462373",65,70,723206302,54597,"Roth",1500,"2005-06-23","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1036","E31238010000000000000055549250899","Nordex SE","S-70",1500,"23.06.2005",7233232,"50,340322","6,46548",65,70,723206302,54597,"Roth",1500,"2005-06-23","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1037","E31238010000000000000055549250900","Nordex SE","S-70",1500,"28.06.2005",7233232,"50,336228","6,464064",65,70,723206302,54597,"Roth",1500,"2005-06-28","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1038","E31238010000000000000055549250901","Nordex SE","S-70",1500,"29.06.2005",7233232,"50,342373","6,467341",65,70,723206302,54597,"Roth",1500,"2005-06-29","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1039","E31238010000000000000055549250903","Nordex SE","S-70",1500,"30.06.2005",7233232,"50,338493","6,468679",65,70,723206302,54597,"Roth",1500,"2005-06-30","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1040","E31238010000000000000055549250904","Nordex SE","S-70",1500,"06.07.2005",7233232,"50,34082","6,469039",65,70,723206302,54597,"Roth",1500,"2005-07-06","11YR00000003039P",10003764,1968466,7232,"Eifelkreis Bitburg-Prüm",1312.31066666667,1968,723206,"Prüm"
"1041","E31238010000000000000055549250905","ENERCON GmbH","E-70",2000,"19.12.2006",7232302,"50,310779","6,365265",114,70,723206302,54597,"Roth",2000,"2006-12-19","11YR00000003039P",10003764,3062834,7232,"Eifelkreis Bitburg-Prüm",1531.417,3063,723206,"Prüm"
"1042","E31238010000000000000055549250907","ENERCON GmbH","E-70",2000,"29.12.2006",7232302,"50,310147","6,369191",65,70,723206302,54597,"Roth",2000,"2006-12-29","11YR00000003039P",10003764,2550837,7232,"Eifelkreis Bitburg-Prüm",1275.4185,2551,723206,"Prüm"
"1043","E31238010000000000000055549250908","ENERCON GmbH","E-70",2000,"21.12.2006",7232302,"50,311932","6,361652",114,70,723206302,54597,"Roth",2000,"2006-12-21","11YR00000003039P",10003764,3062834,7232,"Eifelkreis Bitburg-Prüm",1531.417,3063,723206,"Prüm"
"1044","E31238010000000000000055549250909","ENERCON GmbH","E-70",2000,"27.12.2006",7232302,"50,309119","6,361574",114,70,723206302,54597,"Roth",2000,"2006-12-27","11YR00000003039P",10003764,3062834,7232,"Eifelkreis Bitburg-Prüm",1531.417,3063,723206,"Prüm"
"1045","E31238010000000000000055549250910","Nordex SE","S-77",1500,"18.02.2007",7232302,"50,316179","6,411044",100,77,723206302,54597,"Roth",1500,"2007-02-18","11YR00000003039P",10003764,2501972,7232,"Eifelkreis Bitburg-Prüm",1667.98133333333,2502,723206,"Prüm"
"1046","E31238010000000000000055549250911","Nordex SE","S-77",1500,"10.10.2007",7232302,"50,319867","6,384978",85,77,723206302,54597,"Roth",1500,"2007-10-10","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1047","E31238010000000000000055549250913","Nordex SE","S-77",1500,"11.10.2007",7232302,"50,322062","6,400723",85,77,723206302,54597,"Roth",1500,"2007-10-11","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1048","E31238010000000000000055549250914","Nordex SE","S-77",1500,"17.10.2007",7232302,"50,308273","6,364768",85,77,723206302,54597,"Roth",1500,"2007-10-17","11YR00000003039P",10003764,2385455,7232,"Eifelkreis Bitburg-Prüm",1590.30333333333,2385,723206,"Prüm"
"1049","E31238010000000000000056095100950","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"21.12.2005",7232247,"50,16083","6,232942",90,82,723201221,54597,"Euscheid",2300,"2005-12-21","11YR00000003039P",10003764,2443568,7232,"Eifelkreis Bitburg-Prüm",1062.42086956522,2444,723201,"Arzfeld"
"1050","E31238010000000000000056095101562","Siemens Wind Power GmbH & Co. KG","SWT 1.3",1300,"08.12.2005",7232247,"50,160005","6,245029",90,62,723201221,54597,"Euscheid",1300,"2005-12-08","11YR00000003039P",10003764,1426133,7232,"Eifelkreis Bitburg-Prüm",1097.02538461538,1426,723201,"Arzfeld"
"1051","E31238010000000000000056095101563","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"18.12.2005",7232247,"50,164059","6,231964",90,82,723201221,54597,"Euscheid",2300,"2005-12-18","11YR00000003039P",10003764,2443568,7232,"Eifelkreis Bitburg-Prüm",1062.42086956522,2444,723201,"Arzfeld"
"1052","E31238010000000000000056095150931","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"28.12.2005",7232247,"50,163719","6,235909",90,82,723201221,54597,"Euscheid",2300,"2005-12-28","11YR00000003039P",10003764,2443568,7232,"Eifelkreis Bitburg-Prüm",1062.42086956522,2444,723201,"Arzfeld"
"1053","E31238010000000000000056095150932","Siemens Wind Power GmbH & Co. KG","SWT 1.3",1300,"30.12.2005",7232247,"50,163753","6,241298",90,62,723201221,54597,"Euscheid",1300,"2005-12-30","11YR00000003039P",10003764,1426133,7232,"Eifelkreis Bitburg-Prüm",1097.02538461538,1426,723201,"Arzfeld"
"1054","E31238010000000000000056095150933","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"31.12.2005",7232229,"50,186032","6,213196",93,93,723201221,54597,"Euscheid",2300,"2005-12-31","11YR00000003039P",10003764,2914676,7232,"Eifelkreis Bitburg-Prüm",1267.25043478261,2915,723201,"Arzfeld"
"1055","E31238010000000000000056095150935","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"02.02.2006",7232229,"50,18916","6,22283",93,93,723201221,54597,"Euscheid",2300,"2006-02-02","11YR00000003039P",10003764,2914676,7232,"Eifelkreis Bitburg-Prüm",1267.25043478261,2915,723201,"Arzfeld"
"1056","E31238010000000000000056095150936","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"02.02.2006",7232229,"50,189522","6,216825",93,93,723201221,54597,"Euscheid",2300,"2006-02-02","11YR00000003039P",10003764,2914676,7232,"Eifelkreis Bitburg-Prüm",1267.25043478261,2915,723201,"Arzfeld"
"1057","E31238010000000000000056095150937","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"06.02.2006",7232229,"50,191905","6,221429",93,93,723201221,54597,"Euscheid",2300,"2006-02-06","11YR00000003039P",10003764,2914676,7232,"Eifelkreis Bitburg-Prüm",1267.25043478261,2915,723201,"Arzfeld"
"1058","E31238010000000000000056095150938","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"06.02.2006",7232229,"50,188471","6,211387",93,93,723201221,54597,"Euscheid",2300,"2006-02-06","11YR00000003039P",10003764,2914676,7232,"Eifelkreis Bitburg-Prüm",1267.25043478261,2915,723201,"Arzfeld"
"1059","E31238010000000000000056095150939","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"10.02.2006",7232231,"50,188151","6,246112",103,93,723201221,54597,"Euscheid",2300,"2006-02-10","11YR00000003039P",10003764,3003139,7232,"Eifelkreis Bitburg-Prüm",1305.71260869565,3003,723201,"Arzfeld"
"1060","E31238010000000000000056095150940","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"12.02.2006",7232333,"50,147652","6,261643",103,93,723201221,54597,"Euscheid",2300,"2006-02-12","11YR00000003039P",10003764,3003139,7232,"Eifelkreis Bitburg-Prüm",1305.71260869565,3003,723201,"Arzfeld"
"1061","E31238010000000000000056095150941","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"02.02.2006",7232229,"50,171237","6,239236",90,82,723201221,54597,"Euscheid",2300,"2006-02-02","11YR00000003039P",10003764,2443568,7232,"Eifelkreis Bitburg-Prüm",1062.42086956522,2444,723201,"Arzfeld"
"1062","E31238010000000000000056095150942","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"04.11.2006",7232231,"50,185319","6,246181",103,93,723201221,54597,"Euscheid",2300,"2006-11-04","11YR00000003039P",10003764,3003136,7232,"Eifelkreis Bitburg-Prüm",1305.71130434783,3003,723201,"Arzfeld"
"1063","E31238010000000000000056095150943","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"08.12.2006",7232231,"50,190455","6,249162",103,93,723201221,54597,"Euscheid",2300,"2006-12-08","11YR00000003039P",10003764,3003136,7232,"Eifelkreis Bitburg-Prüm",1305.71130434783,3003,723201,"Arzfeld"
"1065","E31238010000000000000059508601130","GE Wind Energy GmbH","GE1.5sl",1500,"22.12.2004",7235062,"49,570858","6,477665",85,77,723508062,54441,"Kirf",1500,"2004-12-22","11YR00000003039P",10003764,3032203,7235,"Trier-Saarburg",2021.46866666667,3032,723508,"Saarburg-Kell"
"1072","E31238010000000000000060638000677","Vestas Deutschland GmbH","V80",2000,"05.03.2005",7232048,"50,051398","6,474987",100,85,723208048,54636,"Heilenbach",2000,"2005-03-05","11YR00000003039P",10003764,2166963,7232,"Eifelkreis Bitburg-Prüm",1083.4815,2167,723208,"Bitburger Land"
"1073","E31238010000000000000060638009839","Vestas Deutschland GmbH","V80",2000,"01.03.2005",7232048,"50,053553","6,473757",100,85,723208048,54636,"Heilenbach",2000,"2005-03-01","11YR00000003039P",10003764,1697045,7232,"Eifelkreis Bitburg-Prüm",848.5225,1697,723208,"Bitburger Land"
"1074","E31238010000000000000060638014133","Vestas Deutschland GmbH","V80",2000,"03.02.2005",7232048,"50,054268","6,46739",100,85,723208048,54636,"Heilenbach",2000,"2005-02-03","11YR00000003039P",10003764,1511661,7232,"Eifelkreis Bitburg-Prüm",755.8305,1512,723208,"Bitburger Land"
"1075","E31238010000000000000060638018544","Vestas Deutschland GmbH","V80",2000,"31.12.2004",7232048,"50,057373","6,46837",100,85,723208048,54636,"Heilenbach",2000,"2004-12-31","11YR00000003039P",10003764,2051869,7232,"Eifelkreis Bitburg-Prüm",1025.9345,2052,723208,"Bitburger Land"
"1076","E31238010000000000000060638018545","Vestas Deutschland GmbH","V80",2000,"26.01.2005",7232048,"50,055874","6,472498",100,85,723208048,54636,"Heilenbach",2000,"2005-01-26","11YR00000003039P",10003764,1783304,7232,"Eifelkreis Bitburg-Prüm",891.652,1783,723208,"Bitburger Land"
"1077","E31238010000000000000060638018546","Vestas Deutschland GmbH","V80",2000,"31.12.2004",7232048,"50,060706","6,469544",100,85,723208048,54636,"Heilenbach",2000,"2004-12-31","11YR00000003039P",10003764,2162913,7232,"Eifelkreis Bitburg-Prüm",1081.4565,2163,723208,"Bitburger Land"
"1078","E31238010000000000000060638018548","Vestas Deutschland GmbH","V80",2000,"31.12.2004",7232048,"50,064227","6,474845",100,80,723208048,54636,"Heilenbach",2000,"2004-12-31","11YR00000003039P",10003764,1834775,7232,"Eifelkreis Bitburg-Prüm",917.3875,1835,723208,"Bitburger Land"
"1081","E31238010000000000000063819801659","ENERCON GmbH","E-66/18.70",2000,"27.06.2005",7135088,"50,033917","7,277394",114.09,70,713505088,56865,"Walhausen",2000,"2005-06-14","11YR00000003039P",10003764,3007366,7135,"Cochem-Zell",1503.683,3007,713505,"Zell (Mosel)"
"1084","E31238010000000000000066298909657","Nordex Energy GmbH","N 90",2300,"10.09.2005",7231122,"49,770278","6,952778",100,90,723106123,54424,"Thalfang",2300,"2005-09-10","11YR00000003039P",10003764,3637699,7231,"Bernkastel-Wittlich",1581.60826086957,3638,723106,"Thalfang am Erbeskopf"
"1085","E31238010000000000000066298917530","Nordex Energy GmbH","N 90",2300,"23.09.2005",7231122,"49,768056","6,954722",100,90,723106123,54424,"Thalfang",2300,"2005-09-23","11YR00000003039P",10003764,3637699,7231,"Bernkastel-Wittlich",1581.60826086957,3638,723106,"Thalfang am Erbeskopf"
"1086","E31238010000000000000067358518954","ENERCON GmbH","E-40/6.44",600,"20.09.2005",7232021,"49,96434","6,366736",65,44,723208502,54646,"Hisel",600,"2005-09-20","11YR00000003039P",10003764,714423,7232,"Eifelkreis Bitburg-Prüm",1190.705,714,723208,"Bitburger Land"
"1087","E31238010000000000000067358518955","ENERCON GmbH","E-40/6.44",600,"29.09.2005",7232021,"49,96553","6,369426",65,44,723208502,54646,"Hisel",600,"2005-09-29","11YR00000003039P",10003764,714423,7232,"Eifelkreis Bitburg-Prüm",1190.705,714,723208,"Bitburger Land"
"1088","E31238010000000000000067358518956","ENERCON GmbH","E-40/6.44",600,"21.09.2005",7232021,"49,961709","6,363417",65,44,723208502,54646,"Brimingen",600,"2005-09-21","11YR00000003039P",10003764,714423,7232,"Eifelkreis Bitburg-Prüm",1190.705,714,723208,"Bitburger Land"
"1089","E31238010000000000000067358518958","ENERCON GmbH","E-40/6.44",600,"15.09.2005",7232021,"49,963365","6,36201",65,44,723208502,54646,"Brimingen",600,"2005-09-15","11YR00000003039P",10003764,714423,7232,"Eifelkreis Bitburg-Prüm",1190.705,714,723208,"Bitburger Land"
"1090","E31238010000000000000069321501133","Nordex SE","S77",1500,"01.03.2006",7235062,"49,56789","6,476463",85,77,723508062,54441,"Kirf",1500,"2006-02-25","11YR00000003039P",10003764,2564374,7235,"Trier-Saarburg",1709.58266666667,2564,723508,"Saarburg-Kell"
"1091","E31238010000000000000069475809395","REpower Systems SE","MD77",1500,"02.12.2009",7232077,"49,878675","6,522047",NA,77,723507501,54298,"Welschbillig",1500,"2005-12-31","11YR00000003039P",10003764,2080735,7235,"Trier-Saarburg",1387.15666666667,2081,723507,"Trier-Land"
