"","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","leistung_s","indatum_s","eiccode","bnetznr","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"83","E30254010000000000005230823402040","ENERCON GmbH","E 40/6.44",600,"28.12.2004",7336074,"49,686775","7,666451",78,44,733608074,67748,"Odenbach",600,"2004-12-28","11YR00000001555H",10002992,716942,7336,"Kusel",1194.90333333333,717,733608,"Lauterecken-Wolfstein"
"84","E30254010000000000005230823407054","ENERCON GmbH","E 40/6.44",600,"28.12.2004",7336074,"49,685214","7,665335",78,44,733608074,67748,"Odenbach",600,"2004-12-28","11YR00000001555H",10002992,716934,7336,"Kusel",1194.89,717,733608,"Lauterecken-Wolfstein"
"87","E30254010000000000005230837706693","ENERCON GmbH","E 40",500,"05.02.1998",7333031,"49,679773","8,076552",65,40,733304031,67294,"Ilbesheim",500,"1998-02-05","11YR00000001555H",10002992,725465,7333,"Donnersbergkreis",1450.93,725,733304,"Kirchheimbolanden"
"88","E30254010000000000005230838106691","ENERCON GmbH","E-66/18.70",1800,"21.12.2000",7333040,"49,677834","7,901341",98,70,733304040,67819,"Kriegsfeld",1800,"2000-12-21","11YR00000001555H",10002992,3120769,7333,"Donnersbergkreis",1733.76055555556,3121,733304,"Kirchheimbolanden"
"89","E30254010000000000005230876501820","ENERCON GmbH","E-40/6.44 E2",600,"07.05.2002",7336069,"49,6504","7,6976",65,44,733608069,67759,"NuÃŸbach",600,"2002-05-07","11YR00000001555H",10002992,1022546,7336,"Kusel",1704.24333333333,1023,733608,"Lauterecken-Wolfstein"
"90","E30254010000000000005230888706707","ENERCON GmbH","E-66/18.70-3",1800,"11.12.2003",7336069,"49,6523","7,7038",98,70,733608069,67759,"NuÃŸbach",1600,"2003-12-12","11YR00000001555H",10002992,3219360,7336,"Kusel",2012.1,3219,733608,"Lauterecken-Wolfstein"
"91","E30254010000000000005230940402446","Vestas Deutschland GmbH","V90-2.0MW",2000,"13.04.2006",7338023,"49,293704","8,379747",105,90,733807023,67354,"RÃ¶merberg",2000,"2006-04-13","11YR00000001555H",10002992,3159743,7338,"Rhein-Pfalz",1579.8715,3160,733807,"Römerberg-Dudenhofen"
"92","E30254010000000000005230940406757","Vestas Deutschland GmbH","V90",2000,"01.10.2008",7338023,"49,296821","8,383127",105,90,733807023,67354,"RÃ¶merberg",2000,"2008-10-01","11YR00000001555H",10002992,3052733,7338,"Rhein-Pfalz",1526.3665,3053,733807,"Römerberg-Dudenhofen"
"93","E30254010000000000005231606303528","Vestas Deutschland GmbH","V-80-2.0",2000,"14.02.2003",7335501,"49,520949","7,530289",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-02-14","11YR00000001555H",10002992,2885151,7335,"Kaiserslautern",1442.5755,2885,733509,"Weilerbach"
"94","E30254010000000000005231606303529","Vestas Deutschland GmbH","V-80",2000,"19.01.2003",7335501,"49,519808","7,533332",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-01-19","11YR00000001555H",10002992,2885151,7335,"Kaiserslautern",1442.5755,2885,733509,"Weilerbach"
"95","E30254010000000000005231606303530","Vestas Deutschland GmbH","V-80",2000,"16.01.2003",7335501,"49,518207","7,53529",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-01-16","11YR00000001555H",10002992,2885151,7335,"Kaiserslautern",1442.5755,2885,733509,"Weilerbach"
"96","E30254010000000000005231606303531","Vestas Deutschland GmbH","V-80",2000,"28.12.2002",7335501,"49,518739","7,539336",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2002-12-28","11YR00000001555H",10002992,2885151,7335,"Kaiserslautern",1442.5755,2885,733509,"Weilerbach"
"97","E30254010000000000005231606303532","Vestas Deutschland GmbH","V-80",2000,"29.12.2002",7335501,"49,519194","7,543122",100,80,733509501,66879,"Reichenbach-Steegen",2000,"2002-12-29","11YR00000001555H",10002992,2885151,7335,"Kaiserslautern",1442.5755,2885,733509,"Weilerbach"
"98","E30254010000000000005231606303533","ENERCON GmbH","E-66/20.70",2000,"08.12.2004",7336087,"49,530546","7,589261",98,70.4,733608087,67753,"Rothselberg",2000,"2004-12-08","11YR00000001555H",10002992,2411487,7336,"Kusel",1205.7435,2411,733608,"Lauterecken-Wolfstein"
"99","E30254010000000000005231606303534","ENERCON GmbH","E-66/20.70",2000,"02.12.2004",7336087,"49,521912","7,607461",98,70.4,733608087,67753,"Rothselberg",2000,"2004-12-02","11YR00000001555H",10002992,2411484,7336,"Kusel",1205.742,2411,733608,"Lauterecken-Wolfstein"
"100","E30254010000000000005231607403543","Vestas Deutschland GmbH","V66",1650,"19.10.2000",7333038,"49,58767","8,079197",67,66,733302038,67304,"Kerzenheim",1650,"2000-10-19","11YR00000001555H",10002992,1396482,7333,"Donnersbergkreis",846.352727272727,1396,733302,"Eisenberg"
"102","E30254010000000000005231640303562","Vestas Deutschland GmbH","V90",2000,"28.02.2007",7336047,"49,499972","7,404166",105,90,733609047,66909,"HÃ¼ffler",2000,"2007-02-28","11YR00000001555H",10002992,3818634,7336,"Kusel",1909.317,3819,733609,"Oberes Glantal"
"103","E30254010000000000005231640307069","Vestas Deutschland GmbH","V90",2000,"21.02.2007",7336047,"49,502427","7,404858",105,90,733609047,66909,"HÃ¼ffler",2000,"2007-02-21","11YR00000001555H",10002992,3818627,7336,"Kusel",1909.3135,3819,733609,"Oberes Glantal"
"104","E30254010000000000005231819004016","ENERCON GmbH","E48",800,"09.08.2007",7340016,"49,192646","7,353584",75.8,48,734006016,66919,"Hermersberg",800,"2007-08-09","11YR00000001555H",10002992,1174216,7340,"Südwestpfalz",1467.77,1174,734006,"Waldfischbach-Burgalben"
"105","E30254010000000000005231819006705","ENERCON GmbH","E48",800,"07.08.2007",7340016,"49,192571","7,354011",75.8,48,734006016,66919,"Hermersberg",800,"2007-08-07","11YR00000001555H",10002992,1174216,7340,"Südwestpfalz",1467.77,1174,734006,"Waldfischbach-Burgalben"
"106","E30254010000000000005231819007703","ENERCON GmbH","E82",2000,"16.07.2008",7340055,"49,185654","7,353584",138,82,734006016,66919,"Hermersberg",2000,"2008-07-10","11YR00000001555H",10002992,4024250,7340,"Südwestpfalz",2012.125,4024,734006,"Waldfischbach-Burgalben"
"107","E30254010000000000005231819007704","ENERCON GmbH","E82",2000,"08.07.2008",7340055,"49,192571","7,354011",138,82,734006016,66919,"Hermersberg",2000,"2008-07-29","11YR00000001555H",10002992,4024251,7340,"Südwestpfalz",2012.1255,4024,734006,"Waldfischbach-Burgalben"
"108","E30254010000000000005231821504019","ENERCON GmbH","E48",800,"13.07.2007",7336021,"49,341545","7,292918",75.8,48,733610103,66887,"Welchweiler",2000,"2007-08-03","11YR00000001555H",10002992,1700281,7336,"Kusel",850.1405,1700,733610,"Kusel-Altenglan"
"109","E30254010000000000005232123306711","ENERCON GmbH","E82",2000,"28.12.2007",7340015,"49,174153","7,372911",108,82,734006054,67714,"Waldfischbach-Burgalben",2000,"2007-12-28","11YR00000001555H",10002992,3092015,7340,"Südwestpfalz",1546.0075,3092,734006,"Waldfischbach-Burgalben"
"110","E30254010000000000005232123306712","ENERCON GmbH","E82",2000,"27.12.2007",7340015,"49,174659","7,375159",108,82,734006022,66989,"HÃ¶heinÃ¶d",2000,"2007-12-27","11YR00000001555H",10002992,3092015,7340,"Südwestpfalz",1546.0075,3092,734006,"Waldfischbach-Burgalben"
"111","E30254010000000000005232123306713","ENERCON GmbH","E82",2000,"30.01.2008",7340015,"49,173073","7,373579",108,82,734006054,67714,"Waldfischbach-Burgalben",2000,"2008-01-30","11YR00000001555H",10002992,3092016,7340,"Südwestpfalz",1546.008,3092,734006,"Waldfischbach-Burgalben"
"112","E30254010000000000005232263805059","Vestas Deutschland GmbH","V90",2000,"04.03.2008",7337061,"49,170983","8,20202",105,90,733707061,76877,"Offenbach",2000,"2008-03-04","11YR00000001555H",10002992,3564919,7337,"Südliche Weinstraße",1782.4595,3565,733707,"Offenbach an der Queich"
"113","E30254010000000000005232263805060","Vestas Deutschland GmbH","V90",2000,"17.03.2008",7337061,"49,167192","8,2064",105,90,733707061,76877,"Offenbach",2000,"2008-03-17","11YR00000001555H",10002992,3564919,7337,"Südliche Weinstraße",1782.4595,3565,733707,"Offenbach an der Queich"
"114","E30254010000000000005232263805061","Vestas Deutschland GmbH","V90",2000,"08.03.2008",7337061,"49,169503","8,205116",105,90,733707061,76877,"Offenbach",2000,"2008-03-08","11YR00000001555H",10002992,3564912,7337,"Südliche Weinstraße",1782.456,3565,733707,"Offenbach an der Queich"
"115","E30254010000000000005232790909814","Vestas Deutschland GmbH","V90",2000,"07.10.2008",7338023,"49,297747","8,377295",105,90,733807023,67354,"RÃ¶merberg",2000,"2008-10-07","11YR00000001555H",10002992,3052724,7338,"Rhein-Pfalz",1526.362,3053,733807,"Römerberg-Dudenhofen"
"116","E30254010000000000005232855709017","ENERCON GmbH","E 70",2300,"27.02.2009",7340221,"49,172108","7,466173",98,71,734008221,66484,"Riedelberg",2300,"2009-02-27","11YR00000001555H",10002992,3114291,7340,"Südwestpfalz",1354.03956521739,3114,734008,"Zweibrücken-Land"
"117","E30254010000000000005232855709018","ENERCON GmbH","E 70",2300,"04.03.2009",7340221,"49,170805","7,469643",98,71,734008221,66484,"Riedelberg",2300,"2009-03-04","11YR00000001555H",10002992,3114293,7340,"Südwestpfalz",1354.04043478261,3114,734008,"Zweibrücken-Land"
"118","E30254010000000000005232855709019","ENERCON GmbH","E 82",2000,"03.03.2009",7340221,"49,170418","7,473716",98,82,734008221,66484,"Riedelberg",2000,"2009-03-03","11YR00000001555H",10002992,3705969,7340,"Südwestpfalz",1852.9845,3706,734008,"Zweibrücken-Land"
"119","E30254010000000000005232855709020","ENERCON GmbH","E 82",2000,"27.02.2009",7340221,"49,169497","7,477531",98,82,734008221,66484,"Riedelberg",2000,"2009-02-27","11YR00000001555H",10002992,3705969,7340,"Südwestpfalz",1852.9845,3706,734008,"Zweibrücken-Land"
